ID,Material_transformation_id,Type,Quantity,Condition,Unit
37676,4724,Slurry,0.30,Reactor condition,L
37677,4724,Single Crystal,0.03,Catalyst set up condition,GM
37678,4724,Xenon(Xe),300.00,Lamp power condition,W
37679,4724,Xenon(Xe),126.00,Lamp irradiance condition,W-PER-M2
37680,4724,,25.00,Temperature condition,DEG_C
37681,4724,,1.00,Preasure condition,BAR
37682,4724,,10.00,Space velocity condition,PER-HR
37683,4724,,4.00,Reaction time condition,HR
37684,4724,Gas,,Reaction medium condition,PH
37685,4724,Solar Simulator,,Wavelength condition,NanoM
37686,4724,Solar Simulator,0.00,Illuminated area condition,M2
37687,4725,Slurry,0.30,Reactor condition,L
37688,4725,Single Crystal,0.03,Catalyst set up condition,GM
37689,4725,Xenon(Xe),300.00,Lamp power condition,W
37690,4725,Xenon(Xe),126.00,Lamp irradiance condition,W-PER-M2
37691,4725,,25.00,Temperature condition,DEG_C
37692,4725,,1.00,Preasure condition,BAR
37693,4725,,10.00,Space velocity condition,PER-HR
37694,4725,,4.00,Reaction time condition,HR
37695,4725,Gas,,Reaction medium condition,PH
37696,4725,Solar Simulator,,Wavelength condition,NanoM
37697,4725,Solar Simulator,0.00,Illuminated area condition,M2
37698,4726,Slurry,0.30,Reactor condition,L
37699,4726,Single Crystal,0.03,Catalyst set up condition,GM
37700,4726,Xenon(Xe),300.00,Lamp power condition,W
37701,4726,Xenon(Xe),126.00,Lamp irradiance condition,W-PER-M2
37702,4726,,25.00,Temperature condition,DEG_C
37703,4726,,1.00,Preasure condition,BAR
37704,4726,,10.00,Space velocity condition,PER-HR
37705,4726,,4.00,Reaction time condition,HR
37706,4726,Gas,,Reaction medium condition,PH
37707,4726,Solar Simulator,,Wavelength condition,NanoM
37708,4726,Solar Simulator,0.00,Illuminated area condition,M2
37709,4727,Fixed-bed,0.02,Reactor condition,L
37710,4727,Powder(Sudpended),,Catalyst set up condition,GM
37711,4727,Mercury(Hg),6.00,Lamp power condition,W
37712,4727,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37713,4727,,40.00,Temperature condition,DEG_C
37714,4727,,1.00,Preasure condition,BAR
37715,4727,,,Space velocity condition,PER-HR
37716,4727,,10.00,Reaction time condition,HR
37717,4727,Gas,,Reaction medium condition,PH
37718,4727,UV,315-400(UV-C),Wavelength condition,NanoM
37719,4727,UV,0.00,Illuminated area condition,M2
37720,4728,Fixed-bed,0.02,Reactor condition,L
37721,4728,Powder(Sudpended),,Catalyst set up condition,GM
37722,4728,Mercury(Hg),6.00,Lamp power condition,W
37723,4728,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37724,4728,,40.00,Temperature condition,DEG_C
37725,4728,,1.00,Preasure condition,BAR
37726,4728,,,Space velocity condition,PER-HR
37727,4728,,10.00,Reaction time condition,HR
37728,4728,Gas,,Reaction medium condition,PH
37729,4728,UV,315-400(UV-C),Wavelength condition,NanoM
37730,4728,UV,0.00,Illuminated area condition,M2
37731,4729,Fixed-bed,0.02,Reactor condition,L
37732,4729,Powder(Sudpended),,Catalyst set up condition,GM
37733,4729,Mercury(Hg),6.00,Lamp power condition,W
37734,4729,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37735,4729,,40.00,Temperature condition,DEG_C
37736,4729,,1.00,Preasure condition,BAR
37737,4729,,,Space velocity condition,PER-HR
37738,4729,,10.00,Reaction time condition,HR
37739,4729,Gas,,Reaction medium condition,PH
37740,4729,UV,315-400(UV-C),Wavelength condition,NanoM
37741,4729,UV,0.00,Illuminated area condition,M2
37742,4730,Fixed-bed,0.02,Reactor condition,L
37743,4730,Powder(Sudpended),,Catalyst set up condition,GM
37744,4730,Mercury(Hg),6.00,Lamp power condition,W
37745,4730,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37746,4730,,40.00,Temperature condition,DEG_C
37747,4730,,1.00,Preasure condition,BAR
37748,4730,,,Space velocity condition,PER-HR
37749,4730,,10.00,Reaction time condition,HR
37750,4730,Gas,,Reaction medium condition,PH
37751,4730,UV,315-400(UV-C),Wavelength condition,NanoM
37752,4730,UV,0.00,Illuminated area condition,M2
37753,4731,Fixed-bed,0.02,Reactor condition,L
37754,4731,Powder(Sudpended),,Catalyst set up condition,GM
37755,4731,Mercury(Hg),6.00,Lamp power condition,W
37756,4731,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37757,4731,,40.00,Temperature condition,DEG_C
37758,4731,,1.00,Preasure condition,BAR
37759,4731,,,Space velocity condition,PER-HR
37760,4731,,10.00,Reaction time condition,HR
37761,4731,Gas,,Reaction medium condition,PH
37762,4731,UV,315-400(UV-C),Wavelength condition,NanoM
37763,4731,UV,0.00,Illuminated area condition,M2
37764,4732,Fixed-bed,0.02,Reactor condition,L
37765,4732,Powder(Sudpended),,Catalyst set up condition,GM
37766,4732,Mercury(Hg),6.00,Lamp power condition,W
37767,4732,Mercury(Hg),60000.00,Lamp irradiance condition,W-PER-M2
37768,4732,,40.00,Temperature condition,DEG_C
37769,4732,,1.00,Preasure condition,BAR
37770,4732,,,Space velocity condition,PER-HR
37771,4732,,10.00,Reaction time condition,HR
37772,4732,Gas,,Reaction medium condition,PH
37773,4732,UV,315-400(UV-C),Wavelength condition,NanoM
37774,4732,UV,0.00,Illuminated area condition,M2
37775,4733,Slurry,0.05,Reactor condition,L
37776,4733,Powder(Suspended),0.05,Catalyst set up condition,GM
37777,4733,Xenon(Xe),250.00,Lamp power condition,W
37778,4733,Xenon(Xe),1000.00,Lamp irradiance condition,W-PER-M2
37779,4733,,59.85,Temperature condition,DEG_C
37780,4733,,3.00,Preasure condition,BAR
37781,4733,,,Space velocity condition,PER-HR
37782,4733,,20.00,Reaction time condition,HR
37783,4733,Gas,,Reaction medium condition,PH
37784,4733,Solar Simulator,,Wavelength condition,NanoM
37785,4733,Solar Simulator,,Illuminated area condition,M2
37786,4734,Slurry,0.05,Reactor condition,L
37787,4734,Powder(Suspended),0.05,Catalyst set up condition,GM
37788,4734,Xenon(Xe),250.00,Lamp power condition,W
37789,4734,Xenon(Xe),1000.00,Lamp irradiance condition,W-PER-M2
37790,4734,,59.85,Temperature condition,DEG_C
37791,4734,,3.00,Preasure condition,BAR
37792,4734,,,Space velocity condition,PER-HR
37793,4734,,20.00,Reaction time condition,HR
37794,4734,Gas,,Reaction medium condition,PH
37795,4734,Solar Simulator,,Wavelength condition,NanoM
37796,4734,Solar Simulator,,Illuminated area condition,M2
37797,4735,Slurry,0.05,Reactor condition,L
37798,4735,Powder(Suspended),0.05,Catalyst set up condition,GM
37799,4735,Xenon(Xe),250.00,Lamp power condition,W
37800,4735,Xenon(Xe),1000.00,Lamp irradiance condition,W-PER-M2
37801,4735,,59.85,Temperature condition,DEG_C
37802,4735,,3.00,Preasure condition,BAR
37803,4735,,,Space velocity condition,PER-HR
37804,4735,,20.00,Reaction time condition,HR
37805,4735,Gas,,Reaction medium condition,PH
37806,4735,Solar Simulator,,Wavelength condition,NanoM
37807,4735,Solar Simulator,,Illuminated area condition,M2
37808,4736,Slurry,0.38,Reactor condition,L
37809,4736,Film,,Catalyst set up condition,GM
37810,4736,Xenon(Xe),350.00,Lamp power condition,W
37811,4736,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37812,4736,,25.00,Temperature condition,DEG_C
37813,4736,,1.00,Preasure condition,BAR
37814,4736,,,Space velocity condition,PER-HR
37815,4736,,4.00,Reaction time condition,HR
37816,4736,Gas,,Reaction medium condition,PH
37817,4736,UV,315-400(UV-C),Wavelength condition,NanoM
37818,4736,UV,,Illuminated area condition,M2
37819,4737,Slurry,0.38,Reactor condition,L
37820,4737,Film,,Catalyst set up condition,GM
37821,4737,Xenon(Xe),350.00,Lamp power condition,W
37822,4737,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37823,4737,,25.00,Temperature condition,DEG_C
37824,4737,,1.00,Preasure condition,BAR
37825,4737,,,Space velocity condition,PER-HR
37826,4737,,4.00,Reaction time condition,HR
37827,4737,Gas,,Reaction medium condition,PH
37828,4737,UV,315-400(UV-C),Wavelength condition,NanoM
37829,4737,UV,,Illuminated area condition,M2
37830,4738,Slurry,0.38,Reactor condition,L
37831,4738,Film,,Catalyst set up condition,GM
37832,4738,Xenon(Xe),350.00,Lamp power condition,W
37833,4738,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37834,4738,,25.00,Temperature condition,DEG_C
37835,4738,,1.00,Preasure condition,BAR
37836,4738,,,Space velocity condition,PER-HR
37837,4738,,4.00,Reaction time condition,HR
37838,4738,Gas,,Reaction medium condition,PH
37839,4738,UV,315-400(UV-C),Wavelength condition,NanoM
37840,4738,UV,,Illuminated area condition,M2
37841,4739,Slurry,0.38,Reactor condition,L
37842,4739,Film,,Catalyst set up condition,GM
37843,4739,Xenon(Xe),300.00,Lamp power condition,W
37844,4739,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37845,4739,,25.00,Temperature condition,DEG_C
37846,4739,,1.00,Preasure condition,BAR
37847,4739,,,Space velocity condition,PER-HR
37848,4739,,4.00,Reaction time condition,HR
37849,4739,Gas,,Reaction medium condition,PH
37850,4739,Solar Simulator,,Wavelength condition,NanoM
37851,4739,Solar Simulator,,Illuminated area condition,M2
37852,4740,Slurry,0.38,Reactor condition,L
37853,4740,Film,,Catalyst set up condition,GM
37854,4740,Xenon(Xe),300.00,Lamp power condition,W
37855,4740,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37856,4740,,25.00,Temperature condition,DEG_C
37857,4740,,1.00,Preasure condition,BAR
37858,4740,,,Space velocity condition,PER-HR
37859,4740,,4.00,Reaction time condition,HR
37860,4740,Gas,,Reaction medium condition,PH
37861,4740,Solar Simulator,,Wavelength condition,NanoM
37862,4740,Solar Simulator,,Illuminated area condition,M2
37863,4741,Slurry,0.38,Reactor condition,L
37864,4741,Film,,Catalyst set up condition,GM
37865,4741,Xenon(Xe),300.00,Lamp power condition,W
37866,4741,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37867,4741,,25.00,Temperature condition,DEG_C
37868,4741,,1.00,Preasure condition,BAR
37869,4741,,,Space velocity condition,PER-HR
37870,4741,,4.00,Reaction time condition,HR
37871,4741,Gas,,Reaction medium condition,PH
37872,4741,Solar Simulator,,Wavelength condition,NanoM
37873,4741,Solar Simulator,,Illuminated area condition,M2
37874,4742,Slurry,0.10,Reactor condition,L
37875,4742,Powder(Suspended),0.65,Catalyst set up condition,GM
37876,4742,Mercury(Hg),300.00,Lamp power condition,W
37877,4742,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
37878,4742,,25.00,Temperature condition,DEG_C
37879,4742,,1.00,Preasure condition,BAR
37880,4742,,,Space velocity condition,PER-HR
37881,4742,,3.00,Reaction time condition,HR
37882,4742,Gas,,Reaction medium condition,PH
37883,4742,UV,280-315(UV-B),Wavelength condition,NanoM
37884,4742,UV,,Illuminated area condition,M2
37885,4743,Slurry,0.10,Reactor condition,L
37886,4743,Powder(Suspended),0.65,Catalyst set up condition,GM
37887,4743,Mercury(Hg),300.00,Lamp power condition,W
37888,4743,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
37889,4743,,25.00,Temperature condition,DEG_C
37890,4743,,1.00,Preasure condition,BAR
37891,4743,,,Space velocity condition,PER-HR
37892,4743,,3.00,Reaction time condition,HR
37893,4743,Gas,,Reaction medium condition,PH
37894,4743,UV,280-315(UV-B),Wavelength condition,NanoM
37895,4743,UV,,Illuminated area condition,M2
37896,4744,Slurry,0.10,Reactor condition,L
37897,4744,Powder(Suspended),0.65,Catalyst set up condition,GM
37898,4744,Mercury(Hg),300.00,Lamp power condition,W
37899,4744,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
37900,4744,,25.00,Temperature condition,DEG_C
37901,4744,,1.00,Preasure condition,BAR
37902,4744,,,Space velocity condition,PER-HR
37903,4744,,3.00,Reaction time condition,HR
37904,4744,Gas,,Reaction medium condition,PH
37905,4744,UV,280-315(UV-B),Wavelength condition,NanoM
37906,4744,UV,,Illuminated area condition,M2
37907,4745,Slurry,0.10,Reactor condition,L
37908,4745,Powder(Suspended),0.65,Catalyst set up condition,GM
37909,4745,Mercury(Hg),300.00,Lamp power condition,W
37910,4745,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
37911,4745,,25.00,Temperature condition,DEG_C
37912,4745,,1.00,Preasure condition,BAR
37913,4745,,,Space velocity condition,PER-HR
37914,4745,,3.00,Reaction time condition,HR
37915,4745,Gas,,Reaction medium condition,PH
37916,4745,UV,280-315(UV-B),Wavelength condition,NanoM
37917,4745,UV,,Illuminated area condition,M2
37918,4746,Fixed-bed,,Reactor condition,L
37919,4746,Powder(Suspended),0.025,Catalyst set up condition,GM
37920,4746,Xenon(Xe),150.00,Lamp power condition,W
37921,4746,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37922,4746,,25.00,Temperature condition,DEG_C
37923,4746,,1.00,Preasure condition,BAR
37924,4746,,,Space velocity condition,PER-HR
37925,4746,,24.00,Reaction time condition,HR
37926,4746,Gas,,Reaction medium condition,PH
37927,4746,UV-Vis,315-780,Wavelength condition,NanoM
37928,4746,UV-Vis,,Illuminated area condition,M2
37929,4747,Fixed-bed,,Reactor condition,L
37930,4747,Powder(Suspended),0.025,Catalyst set up condition,GM
37931,4747,Xenon(Xe),150.00,Lamp power condition,W
37932,4747,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37933,4747,,25.00,Temperature condition,DEG_C
37934,4747,,1.00,Preasure condition,BAR
37935,4747,,,Space velocity condition,PER-HR
37936,4747,,24.00,Reaction time condition,HR
37937,4747,Gas,,Reaction medium condition,PH
37938,4747,UV-Vis,315-780,Wavelength condition,NanoM
37939,4747,UV-Vis,,Illuminated area condition,M2
37940,4748,Fixed-bed,,Reactor condition,L
37941,4748,Powder(Suspended),0.025,Catalyst set up condition,GM
37942,4748,Xenon(Xe),150.00,Lamp power condition,W
37943,4748,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37944,4748,,25.00,Temperature condition,DEG_C
37945,4748,,1.00,Preasure condition,BAR
37946,4748,,,Space velocity condition,PER-HR
37947,4748,,24.00,Reaction time condition,HR
37948,4748,Gas,,Reaction medium condition,PH
37949,4748,UV-Vis,315-780,Wavelength condition,NanoM
37950,4748,UV-Vis,,Illuminated area condition,M2
37951,4749,Fixed-bed,,Reactor condition,L
37952,4749,Powder(Suspended),0.025,Catalyst set up condition,GM
37953,4749,Xenon(Xe),150.00,Lamp power condition,W
37954,4749,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37955,4749,,25.00,Temperature condition,DEG_C
37956,4749,,1.00,Preasure condition,BAR
37957,4749,,,Space velocity condition,PER-HR
37958,4749,,24.00,Reaction time condition,HR
37959,4749,Gas,,Reaction medium condition,PH
37960,4749,UV-Vis,315-780,Wavelength condition,NanoM
37961,4749,UV-Vis,,Illuminated area condition,M2
37962,4750,Fixed-bed,,Reactor condition,L
37963,4750,Powder(Suspended),0.025,Catalyst set up condition,GM
37964,4750,Xenon(Xe),150.00,Lamp power condition,W
37965,4750,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37966,4750,,25.00,Temperature condition,DEG_C
37967,4750,,1.00,Preasure condition,BAR
37968,4750,,,Space velocity condition,PER-HR
37969,4750,,24.00,Reaction time condition,HR
37970,4750,Gas,,Reaction medium condition,PH
37971,4750,UV-Vis,315-780,Wavelength condition,NanoM
37972,4750,UV-Vis,,Illuminated area condition,M2
37973,4751,Fixed-bed,,Reactor condition,L
37974,4751,Powder(Suspended),0.025,Catalyst set up condition,GM
37975,4751,Xenon(Xe),150.00,Lamp power condition,W
37976,4751,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37977,4751,,25.00,Temperature condition,DEG_C
37978,4751,,1.00,Preasure condition,BAR
37979,4751,,,Space velocity condition,PER-HR
37980,4751,,24.00,Reaction time condition,HR
37981,4751,Gas,,Reaction medium condition,PH
37982,4751,UV-Vis,315-780,Wavelength condition,NanoM
37983,4751,UV-Vis,,Illuminated area condition,M2
37984,4752,Fixed-bed,0.05,Reactor condition,L
37985,4752,Powder(Suspended),0.01,Catalyst set up condition,GM
37986,4752,Xenon(Xe),300.00,Lamp power condition,W
37987,4752,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37988,4752,,25.00,Temperature condition,DEG_C
37989,4752,,0.80,Preasure condition,BAR
37990,4752,,,Space velocity condition,PER-HR
37991,4752,,10.00,Reaction time condition,HR
37992,4752,Gas,,Reaction medium condition,PH
37993,4752,UV-Vis,315-780,Wavelength condition,NanoM
37994,4752,UV-Vis,,Illuminated area condition,M2
37995,4753,Fixed-bed,0.05,Reactor condition,L
37996,4753,Powder(Suspended),0.01,Catalyst set up condition,GM
37997,4753,Xenon(Xe),300.00,Lamp power condition,W
37998,4753,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
37999,4753,,25.00,Temperature condition,DEG_C
38000,4753,,0.80,Preasure condition,BAR
38001,4753,,,Space velocity condition,PER-HR
38002,4753,,10.00,Reaction time condition,HR
38003,4753,Gas,,Reaction medium condition,PH
38004,4753,UV-Vis,315-780,Wavelength condition,NanoM
38005,4753,UV-Vis,,Illuminated area condition,M2
38006,4754,Fixed-bed,0.05,Reactor condition,L
38007,4754,Powder(Suspended),0.01,Catalyst set up condition,GM
38008,4754,Xenon(Xe),300.00,Lamp power condition,W
38009,4754,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
38010,4754,,25.00,Temperature condition,DEG_C
38011,4754,,0.80,Preasure condition,BAR
38012,4754,,,Space velocity condition,PER-HR
38013,4754,,10.00,Reaction time condition,HR
38014,4754,Gas,,Reaction medium condition,PH
38015,4754,UV-Vis,315-780,Wavelength condition,NanoM
38016,4754,UV-Vis,,Illuminated area condition,M2
38017,4755,Fixed-bed,0.05,Reactor condition,L
38018,4755,Powder(Suspended),0.01,Catalyst set up condition,GM
38019,4755,Xenon(Xe),300.00,Lamp power condition,W
38020,4755,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
38021,4755,,25.00,Temperature condition,DEG_C
38022,4755,,0.80,Preasure condition,BAR
38023,4755,,,Space velocity condition,PER-HR
38024,4755,,10.00,Reaction time condition,HR
38025,4755,Gas,,Reaction medium condition,PH
38026,4755,UV-Vis,315-780,Wavelength condition,NanoM
38027,4755,UV-Vis,,Illuminated area condition,M2
38028,4756,Fixed-bed,0.05,Reactor condition,L
38029,4756,Powder(Suspended),0.01,Catalyst set up condition,GM
38030,4756,Xenon(Xe),300.00,Lamp power condition,W
38031,4756,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
38032,4756,,25.00,Temperature condition,DEG_C
38033,4756,,0.80,Preasure condition,BAR
38034,4756,,,Space velocity condition,PER-HR
38035,4756,,10.00,Reaction time condition,HR
38036,4756,Gas,,Reaction medium condition,PH
38037,4756,UV-Vis,315-780,Wavelength condition,NanoM
38038,4756,UV-Vis,,Illuminated area condition,M2
38039,4757,Fixed-bed,0.05,Reactor condition,L
38040,4757,Powder(Suspended),0.01,Catalyst set up condition,GM
38041,4757,Xenon(Xe),300.00,Lamp power condition,W
38042,4757,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
38043,4757,,25.00,Temperature condition,DEG_C
38044,4757,,0.80,Preasure condition,BAR
38045,4757,,,Space velocity condition,PER-HR
38046,4757,,10.00,Reaction time condition,HR
38047,4757,Gas,,Reaction medium condition,PH
38048,4757,UV-Vis,315-780,Wavelength condition,NanoM
38049,4757,UV-Vis,,Illuminated area condition,M2
38050,4759,Fixed-bed,0.01,Reactor condition,L
38051,4759,Powder(Suspended),0.1066,Catalyst set up condition,GM
38052,4759,Xenon(Xe),300.00,Lamp power condition,W
38053,4759,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38054,4759,,20.00,Temperature condition,DEG_C
38055,4759,,1.00,Preasure condition,BAR
38056,4759,,,Space velocity condition,PER-HR
38057,4759,,4.00,Reaction time condition,HR
38058,4759,Gas,,Reaction medium condition,PH
38059,4759,UV-Vis,315-780,Wavelength condition,NanoM
38060,4759,UV-Vis,,Illuminated area condition,M2
38061,4760,Fixed-bed,0.01,Reactor condition,L
38062,4760,Powder(Suspended),0.1131,Catalyst set up condition,GM
38063,4760,Xenon(Xe),300.00,Lamp power condition,W
38064,4760,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38065,4760,,20.00,Temperature condition,DEG_C
38066,4760,,1.00,Preasure condition,BAR
38067,4760,,,Space velocity condition,PER-HR
38068,4760,,4.00,Reaction time condition,HR
38069,4760,Gas,,Reaction medium condition,PH
38070,4760,UV-Vis,315-780,Wavelength condition,NanoM
38071,4760,UV-Vis,,Illuminated area condition,M2
38072,4761,Fixed-bed,0.01,Reactor condition,L
38073,4761,Powder(Suspended),0.134,Catalyst set up condition,GM
38074,4761,Xenon(Xe),300.00,Lamp power condition,W
38075,4761,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38076,4761,,20.00,Temperature condition,DEG_C
38077,4761,,1.00,Preasure condition,BAR
38078,4761,,,Space velocity condition,PER-HR
38079,4761,,4.00,Reaction time condition,HR
38080,4761,Gas,,Reaction medium condition,PH
38081,4761,UV-Vis,315-780,Wavelength condition,NanoM
38082,4761,UV-Vis,,Illuminated area condition,M2
38083,4762,Fixed-bed,0.01,Reactor condition,L
38084,4762,Powder(Suspended),0.1599,Catalyst set up condition,GM
38085,4762,Xenon(Xe),300.00,Lamp power condition,W
38086,4762,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38087,4762,,20.00,Temperature condition,DEG_C
38088,4762,,1.00,Preasure condition,BAR
38089,4762,,,Space velocity condition,PER-HR
38090,4762,,4.00,Reaction time condition,HR
38091,4762,Gas,,Reaction medium condition,PH
38092,4762,UV-Vis,315-780,Wavelength condition,NanoM
38093,4762,UV-Vis,,Illuminated area condition,M2
38094,4763,Fixed-bed,0.01,Reactor condition,L
38095,4763,Powder(Suspended),0.1759,Catalyst set up condition,GM
38096,4763,Xenon(Xe),300.00,Lamp power condition,W
38097,4763,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38098,4763,,20.00,Temperature condition,DEG_C
38099,4763,,1.00,Preasure condition,BAR
38100,4763,,,Space velocity condition,PER-HR
38101,4763,,4.00,Reaction time condition,HR
38102,4763,Gas,,Reaction medium condition,PH
38103,4763,UV-Vis,315-780,Wavelength condition,NanoM
38104,4763,UV-Vis,,Illuminated area condition,M2
38105,4764,Fixed-bed,0.01,Reactor condition,L
38106,4764,Powder(Suspended),0.192,Catalyst set up condition,GM
38107,4764,Xenon(Xe),300.00,Lamp power condition,W
38108,4764,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38109,4764,,20.00,Temperature condition,DEG_C
38110,4764,,1.00,Preasure condition,BAR
38111,4764,,,Space velocity condition,PER-HR
38112,4764,,4.00,Reaction time condition,HR
38113,4764,Gas,,Reaction medium condition,PH
38114,4764,UV-Vis,315-780,Wavelength condition,NanoM
38115,4764,UV-Vis,,Illuminated area condition,M2
38116,4765,Fixed-bed,0.01,Reactor condition,L
38117,4765,Powder(Suspended),0.2264,Catalyst set up condition,GM
38118,4765,Xenon(Xe),300.00,Lamp power condition,W
38119,4765,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38120,4765,,20.00,Temperature condition,DEG_C
38121,4765,,1.00,Preasure condition,BAR
38122,4765,,,Space velocity condition,PER-HR
38123,4765,,4.00,Reaction time condition,HR
38124,4765,Gas,,Reaction medium condition,PH
38125,4765,UV-Vis,315-780,Wavelength condition,NanoM
38126,4765,UV-Vis,,Illuminated area condition,M2
38127,4766,Fixed-bed,0.01,Reactor condition,L
38128,4766,Powder(Suspended),0.1066,Catalyst set up condition,GM
38129,4766,Xenon(Xe),300.00,Lamp power condition,W
38130,4766,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38131,4766,,20.00,Temperature condition,DEG_C
38132,4766,,1.00,Preasure condition,BAR
38133,4766,,,Space velocity condition,PER-HR
38134,4766,,4.00,Reaction time condition,HR
38135,4766,Gas,,Reaction medium condition,PH
38136,4766,UV-Vis,315-780,Wavelength condition,NanoM
38137,4766,UV-Vis,,Illuminated area condition,M2
38138,4767,Fixed-bed,0.01,Reactor condition,L
38139,4767,Powder(Suspended),0.1131,Catalyst set up condition,GM
38140,4767,Xenon(Xe),300.00,Lamp power condition,W
38141,4767,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38142,4767,,20.00,Temperature condition,DEG_C
38143,4767,,1.00,Preasure condition,BAR
38144,4767,,,Space velocity condition,PER-HR
38145,4767,,4.00,Reaction time condition,HR
38146,4767,Gas,,Reaction medium condition,PH
38147,4767,UV-Vis,315-780,Wavelength condition,NanoM
38148,4767,UV-Vis,,Illuminated area condition,M2
38149,4768,Fixed-bed,0.01,Reactor condition,L
38150,4768,Powder(Suspended),0.134,Catalyst set up condition,GM
38151,4768,Xenon(Xe),300.00,Lamp power condition,W
38152,4768,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38153,4768,,20.00,Temperature condition,DEG_C
38154,4768,,1.00,Preasure condition,BAR
38155,4768,,,Space velocity condition,PER-HR
38156,4768,,4.00,Reaction time condition,HR
38157,4768,Gas,,Reaction medium condition,PH
38158,4768,UV-Vis,315-780,Wavelength condition,NanoM
38159,4768,UV-Vis,,Illuminated area condition,M2
38160,4769,Fixed-bed,0.01,Reactor condition,L
38161,4769,Powder(Suspended),0.1599,Catalyst set up condition,GM
38162,4769,Xenon(Xe),300.00,Lamp power condition,W
38163,4769,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38164,4769,,20.00,Temperature condition,DEG_C
38165,4769,,1.00,Preasure condition,BAR
38166,4769,,,Space velocity condition,PER-HR
38167,4769,,4.00,Reaction time condition,HR
38168,4769,Gas,,Reaction medium condition,PH
38169,4769,UV-Vis,315-780,Wavelength condition,NanoM
38170,4769,UV-Vis,,Illuminated area condition,M2
38171,4770,Fixed-bed,0.01,Reactor condition,L
38172,4770,Powder(Suspended),0.1759,Catalyst set up condition,GM
38173,4770,Xenon(Xe),300.00,Lamp power condition,W
38174,4770,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38175,4770,,20.00,Temperature condition,DEG_C
38176,4770,,1.00,Preasure condition,BAR
38177,4770,,,Space velocity condition,PER-HR
38178,4770,,4.00,Reaction time condition,HR
38179,4770,Gas,,Reaction medium condition,PH
38180,4770,UV-Vis,315-780,Wavelength condition,NanoM
38181,4770,UV-Vis,,Illuminated area condition,M2
38182,4771,Fixed-bed,0.01,Reactor condition,L
38183,4771,Powder(Suspended),0.192,Catalyst set up condition,GM
38184,4771,Xenon(Xe),300.00,Lamp power condition,W
38185,4771,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38186,4771,,20.00,Temperature condition,DEG_C
38187,4771,,1.00,Preasure condition,BAR
38188,4771,,,Space velocity condition,PER-HR
38189,4771,,4.00,Reaction time condition,HR
38190,4771,Gas,,Reaction medium condition,PH
38191,4771,UV-Vis,315-780,Wavelength condition,NanoM
38192,4771,UV-Vis,,Illuminated area condition,M2
38193,4772,Fixed-bed,0.01,Reactor condition,L
38194,4772,Powder(Suspended),0.2264,Catalyst set up condition,GM
38195,4772,Xenon(Xe),300.00,Lamp power condition,W
38196,4772,Xenon(Xe),5000.00,Lamp irradiance condition,W-PER-M2
38197,4772,,20.00,Temperature condition,DEG_C
38198,4772,,1.00,Preasure condition,BAR
38199,4772,,,Space velocity condition,PER-HR
38200,4772,,4.00,Reaction time condition,HR
38201,4772,Gas,,Reaction medium condition,PH
38202,4772,UV-Vis,315-780,Wavelength condition,NanoM
