ID,Material_transformation_id,Type,Quantity,Condition,Unit
202,19,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
203,19,,250.00,Temperature condition,DEG_C
204,19,,0.25,Preasure condition,BAR
205,19,,,Space velocity condition,PER-HR
206,19,,40.50,Reaction time condition,HR
207,19,Liquid,0,Reaction medium condition,PH
208,19,UV,436,Wavelength condition,NanoM
209,19,UV,,Illuminated area condition,M2
210,20,Fixed-bed,0.06,Reactor condition,L
211,20,Powder(Supported),0.05,Catalyst set up condition,GM
212,20,Xenon(Xe),990.00,Lamp power condition,W
213,20,Xenon(Xe),960.00,Lamp irradiance condition,W-PER-M2
214,20,,35.00,Temperature condition,DEG_C
215,20,,90.00,Preasure condition,BAR
216,20,,,Space velocity condition,PER-HR
217,20,,5.00,Reaction time condition,HR
218,20,Gas,,Reaction medium condition,PH
219,20,UV,315-400(UV-C),Wavelength condition,NanoM
220,20,UV,0.40,Illuminated area condition,M2
221,21,Fixed-bed,0.27,Reactor condition,L
222,21,Powder(Supported),0.05,Catalyst set up condition,GM
223,21,Mercury(Hg),300.00,Lamp power condition,W
224,21,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
225,21,,55.00,Temperature condition,DEG_C
226,21,,1.00,Preasure condition,BAR
227,21,,,Space velocity condition,PER-HR
228,21,,34.00,Reaction time condition,HR
229,21,Gas,,Reaction medium condition,PH
230,21,UV,315-400(UV-C),Wavelength condition,NanoM
231,21,UV,0.01,Illuminated area condition,M2
232,22,Fixed-bed,0.27,Reactor condition,L
233,22,Powder(Supported),0.05,Catalyst set up condition,GM
234,22,Mercury(Hg),300.00,Lamp power condition,W
235,22,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
236,22,,55.00,Temperature condition,DEG_C
237,22,,1.00,Preasure condition,BAR
238,22,,,Space velocity condition,PER-HR
239,22,,34.00,Reaction time condition,HR
240,22,Gas,,Reaction medium condition,PH
241,22,UV,315-400(UV-C),Wavelength condition,NanoM
242,22,UV,0.01,Illuminated area condition,M2
243,23,Fixed-bed,,Reactor condition,L
244,23,Powder(Supported),0.03,Catalyst set up condition,GM
245,23,Mercury(Hg),250.00,Lamp power condition,W
246,23,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
247,23,,25.00,Temperature condition,DEG_C
248,23,,,Preasure condition,BAR
249,23,,,Space velocity condition,PER-HR
250,23,,6.00,Reaction time condition,HR
251,23,Gas,,Reaction medium condition,PH
252,23,UV,315-400(UV-C),Wavelength condition,NanoM
253,23,UV,,Illuminated area condition,M2
254,24,Fixed-bed,,Reactor condition,L
255,24,Powder(Supported),0.03,Catalyst set up condition,GM
256,24,Mercury(Hg),250.00,Lamp power condition,W
257,24,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
258,24,,25.00,Temperature condition,DEG_C
259,24,,,Preasure condition,BAR
260,24,,,Space velocity condition,PER-HR
261,24,,6.00,Reaction time condition,HR
262,24,Gas,,Reaction medium condition,PH
263,24,UV,315-400(UV-C),Wavelength condition,NanoM
264,24,UV,,Illuminated area condition,M2
265,25,Fixed-bed,,Reactor condition,L
266,25,Film,0.25,Catalyst set up condition,GM
267,25,Fluorescent,60.00,Lamp power condition,W
268,25,Fluorescent,,Lamp irradiance condition,W-PER-M2
269,25,,45.00,Temperature condition,DEG_C
270,25,,1.11,Preasure condition,BAR
271,25,,,Space velocity condition,PER-HR
272,25,,2.00,Reaction time condition,HR
273,25,Gas,,Reaction medium condition,PH
274,25,UV,315-400(UV-C),Wavelength condition,NanoM
275,25,UV,0.01,Illuminated area condition,M2
276,26,Fixed-bed,,Reactor condition,L
277,26,Film,0.25,Catalyst set up condition,GM
278,26,Fluorescent,60.00,Lamp power condition,W
279,26,Fluorescent,,Lamp irradiance condition,W-PER-M2
280,26,,45.00,Temperature condition,DEG_C
281,26,,1.11,Preasure condition,BAR
282,26,,,Space velocity condition,PER-HR
283,26,,2.00,Reaction time condition,HR
284,26,Gas,,Reaction medium condition,PH
285,26,UV,315-400(UV-C),Wavelength condition,NanoM
286,26,UV,0.01,Illuminated area condition,M2
287,27,Fixed-bed,,Reactor condition,L
288,27,Film,0.25,Catalyst set up condition,GM
289,27,Fluorescent,60.00,Lamp power condition,W
290,27,Fluorescent,,Lamp irradiance condition,W-PER-M2
291,27,,45.00,Temperature condition,DEG_C
292,27,,1.11,Preasure condition,BAR
293,27,,,Space velocity condition,PER-HR
294,27,,2.00,Reaction time condition,HR
295,27,Gas,,Reaction medium condition,PH
296,27,UV,315-400(UV-C),Wavelength condition,NanoM
297,27,UV,0.01,Illuminated area condition,M2
298,28,Fixed-bed,,Reactor condition,L
299,28,Film,0.25,Catalyst set up condition,GM
300,28,Fluorescent,60.00,Lamp power condition,W
301,28,Fluorescent,,Lamp irradiance condition,W-PER-M2
302,28,,45.00,Temperature condition,DEG_C
303,28,,1.11,Preasure condition,BAR
304,28,,,Space velocity condition,PER-HR
