ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
4383,2175,CH4,0.1000,g,MicroMOL-PER-GM
4384,2176,CH3COH,36.1000,g,MicroMOL-PER-GM
4385,2177,CH4,0.2800,gh,MicroMOL-PER-GM-HR
4386,2177,CH4,1.1200,g,MicroMOL-PER-GM
4387,2177,CH4,0.0025,m2h,MicroMOL-PER-M2-HR
4388,2178,CH4,2.2300,gh,MicroMOL-PER-GM-HR
4389,2178,CH4,8.9200,g,MicroMOL-PER-GM
4390,2178,CH4,0.0201,m2h,MicroMOL-PER-M2-HR
4391,2179,CH4,4.7400,gh,MicroMOL-PER-GM-HR
4392,2179,CH4,18.9600,g,MicroMOL-PER-GM
4393,2179,CH4,0.0439,m2h,MicroMOL-PER-M2-HR
4394,2180,CH4,8.6800,gh,MicroMOL-PER-GM-HR
4395,2180,CH4,34.7200,g,MicroMOL-PER-GM
4396,2180,CH4,0.0823,m2h,MicroMOL-PER-M2-HR
4397,2181,CH4,5.3000,gh,MicroMOL-PER-GM-HR
4398,2181,CH4,21.2000,g,MicroMOL-PER-GM
4399,2181,CH4,0.0526,m2h,MicroMOL-PER-M2-HR
4400,2182,CH4,2.2300,gh,MicroMOL-PER-GM-HR
4401,2182,CH4,8.9200,g,MicroMOL-PER-GM
4402,2182,CH4,0.0225,m2h,MicroMOL-PER-M2-HR
4403,2183,CH4,0.1000,g,MicroMOL-PER-GM
4404,2184,CH4,1.1000,g,MicroMOL-PER-GM
4405,2185,CH4,2.8000,g,MicroMOL-PER-GM
4406,2186,CH4,6.5000,g,MicroMOL-PER-GM
4407,2187,CH4,0.2550,gh,MicroMOL-PER-GM-HR
4408,2187,CH4,2.5500,g,MicroMOL-PER-GM
4409,2188,CH4,0.4800,gh,MicroMOL-PER-GM-HR
4410,2188,CH4,4.8000,g,MicroMOL-PER-GM
4411,2189,CH4,0.7810,gh,MicroMOL-PER-GM-HR
4412,2189,CH4,7.8100,g,MicroMOL-PER-GM
4413,2190,CH4,0.9990,gh,MicroMOL-PER-GM-HR
4414,2190,CH4,9.9900,g,MicroMOL-PER-GM
4415,2191,CH4,1.3930,gh,MicroMOL-PER-GM-HR
4416,2191,CH4,13.9300,g,MicroMOL-PER-GM
4417,2192,CH4,1.1700,gh,MicroMOL-PER-GM-HR
4418,2192,CH4,11.7000,g,MicroMOL-PER-GM
4419,2193,CH3OH,52.0833,gh,MicroMOL-PER-GM-HR
4420,2193,CH3OH,2500.0000,g,MicroMOL-PER-GM
4421,2193,CH3OH,0.8978,m2h,MicroMOL-PER-M2-HR
4422,2194,CH3OH,26.0417,gh,MicroMOL-PER-GM-HR
4423,2194,CH3OH,1250.0000,g,MicroMOL-PER-GM
4424,2195,CH3OH,18.7500,gh,MicroMOL-PER-GM-HR
4425,2195,CH3OH,900.0000,g,MicroMOL-PER-GM
4426,2196,CH3OH,13.5417,gh,MicroMOL-PER-GM-HR
4427,2196,CH3OH,650.0000,g,MicroMOL-PER-GM
4428,2197,CH3OH,10.0000,gh,MicroMOL-PER-GM-HR
4429,2197,CH3OH,480.0000,g,MicroMOL-PER-GM
4430,2198,CO,0.6250,gh,MicroMOL-PER-GM-HR
4431,2198,CO,5.0000,g,MicroMOL-PER-GM
4432,2198,CO,0.1524,m2h,MicroMOL-PER-M2-HR
4433,2199,CO,0.3125,gh,MicroMOL-PER-GM-HR
4434,2199,CO,2.5000,g,MicroMOL-PER-GM
4435,2199,CO,0.0044,m2h,MicroMOL-PER-M2-HR
4436,2200,CO,1.7500,gh,MicroMOL-PER-GM-HR
4437,2200,CO,14.0000,g,MicroMOL-PER-GM
4438,2200,CO,0.2011,m2h,MicroMOL-PER-M2-HR
4439,2201,CO,5.0000,gh,MicroMOL-PER-GM-HR
4440,2201,CO,40.0000,g,MicroMOL-PER-GM
4441,2201,CO,0.5495,m2h,MicroMOL-PER-M2-HR
4442,2202,CO,4.0000,gh,MicroMOL-PER-GM-HR
4443,2202,CO,32.0000,g,MicroMOL-PER-GM
4444,2202,CO,0.2222,m2h,MicroMOL-PER-M2-HR
4445,2203,CO,2.8125,gh,MicroMOL-PER-GM-HR
4446,2203,CO,22.5000,g,MicroMOL-PER-GM
4447,2203,CO,0.1116,m2h,MicroMOL-PER-M2-HR
4448,2204,CH4,9.3750,gh,MicroMOL-PER-GM-HR
4449,2204,CH4,75.0000,g,MicroMOL-PER-GM
4450,2205,CH4,16.2500,gh,MicroMOL-PER-GM-HR
4451,2205,CH4,130.0000,g,MicroMOL-PER-GM
4452,2206,CH4,20.6250,gh,MicroMOL-PER-GM-HR
4453,2206,CH4,165.0000,g,MicroMOL-PER-GM
4454,2207,CH4,15.6250,gh,MicroMOL-PER-GM-HR
4455,2207,CH4,125.0000,g,MicroMOL-PER-GM
4456,2208,CH4,0.1213,gh,MicroMOL-PER-GM-HR
4457,2208,CH4,0.9700,g,MicroMOL-PER-GM
4458,2208,CH4,0.0527,m2h,MicroMOL-PER-M2-HR
4459,2209,CH4,0.0813,gh,MicroMOL-PER-GM-HR
4460,2209,CH4,0.6500,g,MicroMOL-PER-GM
4461,2209,CH4,0.0353,m2h,MicroMOL-PER-M2-HR
4462,2210,CH4,0.0813,gh,MicroMOL-PER-GM-HR
4463,2210,CH4,0.6500,g,MicroMOL-PER-GM
4464,2210,CH4,0.0353,m2h,MicroMOL-PER-M2-HR
4465,2211,CH4,0.0167,gh,MicroMOL-PER-GM-HR
4466,2211,CH4,0.1000,g,MicroMOL-PER-GM
4467,2212,CH4,0.0167,gh,MicroMOL-PER-GM-HR
4468,2212,CH4,0.1000,g,MicroMOL-PER-GM
4469,2213,CH4,0.1500,gh,MicroMOL-PER-GM-HR
4470,2213,CH4,0.9000,g,MicroMOL-PER-GM
4471,2214,CH4,0.2000,gh,MicroMOL-PER-GM-HR
4472,2214,CH4,1.2000,g,MicroMOL-PER-GM
4473,2215,CH4,0.2500,gh,MicroMOL-PER-GM-HR
4474,2215,CH4,1.5000,g,MicroMOL-PER-GM
4475,2216,CH4,0.0083,gh,MicroMOL-PER-GM-HR
4476,2216,CH4,0.0500,g,MicroMOL-PER-GM
4477,2217,CH4,0.2500,gh,MicroMOL-PER-GM-HR
4478,2217,CH4,1.5000,g,MicroMOL-PER-GM
4479,2218,CH4,1.0000,gh,MicroMOL-PER-GM-HR
4480,2218,CH4,5.0000,g,MicroMOL-PER-GM
4481,2218,CH4,0.0085,m2h,MicroMOL-PER-M2-HR
4482,2219,CH4,1.2000,gh,MicroMOL-PER-GM-HR
4483,2219,CH4,6.0000,g,MicroMOL-PER-GM
4484,2219,CH4,0.0100,m2h,MicroMOL-PER-M2-HR
4485,2220,CH4,1.0000,gh,MicroMOL-PER-GM-HR
4486,2220,CH4,5.0000,g,MicroMOL-PER-GM
4487,2220,CH4,0.0086,m2h,MicroMOL-PER-M2-HR
4488,2221,CH4,1.0000,gh,MicroMOL-PER-GM-HR
4489,2221,CH4,5.0000,g,MicroMOL-PER-GM
4490,2221,CH4,0.0087,m2h,MicroMOL-PER-M2-HR
4491,2222,CH4,15.4286,gh,MicroMOL-PER-GM-HR
4492,2222,CH4,18.0000,g,MicroMOL-PER-GM
4493,2222,CH4,0.0643,m2h,MicroMOL-PER-M2-HR
4494,2223,CH4,15.4286,gh,MicroMOL-PER-GM-HR
4495,2223,CH4,18.0000,g,MicroMOL-PER-GM
4496,2223,CH4,0.1624,m2h,MicroMOL-PER-M2-HR
4497,2224,CH4,66.8571,gh,MicroMOL-PER-GM-HR
4498,2224,CH4,78.0000,g,MicroMOL-PER-GM
4499,2224,CH4,0.7685,m2h,MicroMOL-PER-M2-HR
4500,2225,CH4,51.4286,gh,MicroMOL-PER-GM-HR
4501,2225,CH4,60.0000,g,MicroMOL-PER-GM
4502,2225,CH4,0.6429,m2h,MicroMOL-PER-M2-HR
4503,2226,H2,0.9800,gh,MicroMOL-PER-GM-HR
4504,2226,CO,4.1000,gh,MicroMOL-PER-GM-HR
4505,2226,CH4,0.2600,gh,MicroMOL-PER-GM-HR
4506,2226,H2,9.8000,g,MicroMOL-PER-GM
4507,2226,CO,41.0000,g,MicroMOL-PER-GM
4508,2226,CH4,2.6000,g,MicroMOL-PER-GM
4509,2226,H2,0.4455,m2h,MicroMOL-PER-M2-HR
4510,2226,CO,1.8636,m2h,MicroMOL-PER-M2-HR
4511,2226,CH4,0.1182,m2h,MicroMOL-PER-M2-HR
4512,2227,H2,2.4000,gh,MicroMOL-PER-GM-HR
4513,2227,CO,5.1000,gh,MicroMOL-PER-GM-HR
4514,2227,CH4,0.5400,gh,MicroMOL-PER-GM-HR
4515,2227,H2,24.0000,g,MicroMOL-PER-GM
4516,2227,CO,51.0000,g,MicroMOL-PER-GM
4517,2227,CH4,5.4000,g,MicroMOL-PER-GM
4518,2227,H2,0.6486,m2h,MicroMOL-PER-M2-HR
4519,2227,CO,1.3784,m2h,MicroMOL-PER-M2-HR
4520,2227,CH4,0.1459,m2h,MicroMOL-PER-M2-HR
4521,2228,H2,4.5000,gh,MicroMOL-PER-GM-HR
4522,2228,CO,7.6000,gh,MicroMOL-PER-GM-HR
4523,2228,CH4,0.9200,gh,MicroMOL-PER-GM-HR
4524,2228,H2,45.0000,g,MicroMOL-PER-GM
4525,2228,CO,76.0000,g,MicroMOL-PER-GM
4526,2228,CH4,9.2000,g,MicroMOL-PER-GM
4527,2228,H2,0.5294,m2h,MicroMOL-PER-M2-HR
4528,2228,CO,0.8941,m2h,MicroMOL-PER-M2-HR
4529,2228,CH4,0.1082,m2h,MicroMOL-PER-M2-HR
4530,2229,H2,2.1000,gh,MicroMOL-PER-GM-HR
4531,2229,CO,6.5000,gh,MicroMOL-PER-GM-HR
4532,2229,CH4,0.6200,gh,MicroMOL-PER-GM-HR
4533,2229,H2,21.0000,g,MicroMOL-PER-GM
4534,2229,CO,65.0000,g,MicroMOL-PER-GM
4535,2229,CH4,6.2000,g,MicroMOL-PER-GM
4536,2229,H2,0.0457,m2h,MicroMOL-PER-M2-HR
4537,2229,CO,0.1413,m2h,MicroMOL-PER-M2-HR
4538,2229,CH4,0.0135,m2h,MicroMOL-PER-M2-HR
4539,2230,H2,3.8000,gh,MicroMOL-PER-GM-HR
4540,2230,CO,10.5000,gh,MicroMOL-PER-GM-HR
4541,2230,CH4,2.0000,gh,MicroMOL-PER-GM-HR
4542,2230,H2,38.0000,g,MicroMOL-PER-GM
4543,2230,CO,105.0000,g,MicroMOL-PER-GM
4544,2230,CH4,20.0000,g,MicroMOL-PER-GM
4545,2230,H2,0.0760,m2h,MicroMOL-PER-M2-HR
4546,2230,CO,0.2100,m2h,MicroMOL-PER-M2-HR
4547,2230,CH4,0.0400,m2h,MicroMOL-PER-M2-HR
4548,2231,H2,6.5000,gh,MicroMOL-PER-GM-HR
4549,2231,CO,16.6000,gh,MicroMOL-PER-GM-HR
4550,2231,CH4,3.3000,gh,MicroMOL-PER-GM-HR
4551,2231,H2,65.0000,g,MicroMOL-PER-GM
4552,2231,CO,166.0000,g,MicroMOL-PER-GM
4553,2231,CH4,33.0000,g,MicroMOL-PER-GM
4554,2231,H2,0.0619,m2h,MicroMOL-PER-M2-HR
4555,2231,CO,0.1581,m2h,MicroMOL-PER-M2-HR
4556,2231,CH4,0.0314,m2h,MicroMOL-PER-M2-HR
4557,2232,H2,2.4000,gh,MicroMOL-PER-GM-HR
4558,2232,CO,1.4000,gh,MicroMOL-PER-GM-HR
4559,2232,CH4,0.4200,gh,MicroMOL-PER-GM-HR
4560,2232,H2,24.0000,g,MicroMOL-PER-GM
4561,2232,CO,14.0000,g,MicroMOL-PER-GM
4562,2232,CH4,4.2000,g,MicroMOL-PER-GM
4563,2233,H2,36.3000,gh,MicroMOL-PER-GM-HR
4564,2233,CO,1.2000,gh,MicroMOL-PER-GM-HR
4565,2233,CH4,5.7000,gh,MicroMOL-PER-GM-HR
4566,2233,H2,363.0000,g,MicroMOL-PER-GM
4567,2233,CO,12.0000,g,MicroMOL-PER-GM
4568,2233,CH4,57.0000,g,MicroMOL-PER-GM
4569,2234,CH4,4.6667,gh,MicroMOL-PER-GM-HR
4570,2234,CH4,28.0000,g,MicroMOL-PER-GM
4571,2234,CH4,0.0138,m2h,MicroMOL-PER-M2-HR
4572,2235,CH4,1.8333,gh,MicroMOL-PER-GM-HR
4573,2235,CH4,11.0000,g,MicroMOL-PER-GM
4574,2235,CH4,0.0141,m2h,MicroMOL-PER-M2-HR
4575,2236,CH4,8.5000,gh,MicroMOL-PER-GM-HR
4576,2236,CH4,51.0000,g,MicroMOL-PER-GM
4577,2236,CH4,0.0773,m2h,MicroMOL-PER-M2-HR
4578,2237,HCOOH,100.0000,gh,MicroMOL-PER-GM-HR
4579,2237,HCOOH,100.0000,g,MicroMOL-PER-GM
4580,2237,HCOOH,0.5556,m2h,MicroMOL-PER-M2-HR
4581,2238,HCOOH,150.0000,gh,MicroMOL-PER-GM-HR
4582,2238,HCOOH,150.0000,g,MicroMOL-PER-GM
4583,2238,HCOOH,0.8333,m2h,MicroMOL-PER-M2-HR
4584,2239,HCOOH,425.0000,gh,MicroMOL-PER-GM-HR
4585,2239,HCOOH,425.0000,g,MicroMOL-PER-GM
4586,2239,HCOOH,2.3611,m2h,MicroMOL-PER-M2-HR
4587,2240,HCOOH,1100.0000,gh,MicroMOL-PER-GM-HR
4588,2240,HCOOH,1100.0000,g,MicroMOL-PER-GM
4589,2240,HCOOH,6.1111,m2h,MicroMOL-PER-M2-HR
4590,2241,HCOOH,150.0000,gh,MicroMOL-PER-GM-HR
4591,2241,HCOOH,150.0000,g,MicroMOL-PER-GM
4592,2241,HCOOH,0.8333,m2h,MicroMOL-PER-M2-HR
4593,2242,H2,2.6667,gh,MicroMOL-PER-GM-HR
4594,2242,CO,13.3333,gh,MicroMOL-PER-GM-HR
4595,2242,H2,8.0000,g,MicroMOL-PER-GM
4596,2242,CO,40.0000,g,MicroMOL-PER-GM
4597,2242,H2,0.0533,m2h,MicroMOL-PER-M2-HR
4598,2242,CO,0.2667,m2h,MicroMOL-PER-M2-HR
4599,2243,CH3OH,18.3333,gh,MicroMOL-PER-GM-HR
4600,2243,CH3OH,220.0000,g,MicroMOL-PER-GM
4601,2243,CH3OH,0.0589,m2h,MicroMOL-PER-M2-HR
4602,2244,CH3OH,24.1667,gh,MicroMOL-PER-GM-HR
4603,2244,CH3OH,290.0000,g,MicroMOL-PER-GM
4604,2244,CH3OH,0.1028,m2h,MicroMOL-PER-M2-HR
4605,2245,CH3OH,48.3333,gh,MicroMOL-PER-GM-HR
4606,2245,CH3OH,580.0000,g,MicroMOL-PER-GM
4607,2245,CH3OH,0.1831,m2h,MicroMOL-PER-M2-HR
4608,2246,CH3OH,33.3333,gh,MicroMOL-PER-GM-HR
4609,2246,CH3OH,400.0000,g,MicroMOL-PER-GM
4610,2246,CH3OH,0.1418,m2h,MicroMOL-PER-M2-HR
4611,2247,CH3OH,0.0833,gh,MicroMOL-PER-GM-HR
4612,2247,CH3OH,0.2500,g,MicroMOL-PER-GM
4613,2248,CH3OH,0.2833,gh,MicroMOL-PER-GM-HR
4614,2248,CH3OH,0.8500,g,MicroMOL-PER-GM
4615,2249,CO,1.0000,gh,MicroMOL-PER-GM-HR
4616,2249,CO,8.0000,g,MicroMOL-PER-GM
4617,2249,CO,0.0143,m2h,MicroMOL-PER-M2-HR
4618,2250,CO,3.5000,gh,MicroMOL-PER-GM-HR
4619,2250,CO,28.0000,g,MicroMOL-PER-GM
4620,2250,CO,0.0522,m2h,MicroMOL-PER-M2-HR
4621,2251,CO,0.1000,gh,MicroMOL-PER-GM-HR
4622,2251,CO,0.8000,g,MicroMOL-PER-GM
4623,2251,CO,0.0015,m2h,MicroMOL-PER-M2-HR
4624,2252,CO,0.6000,gh,MicroMOL-PER-GM-HR
4625,2252,CO,4.8000,g,MicroMOL-PER-GM
4626,2252,CO,0.0090,m2h,MicroMOL-PER-M2-HR
4627,2253,CH4,1.0000,gh,MicroMOL-PER-GM-HR
4628,2253,CH4,8.0000,g,MicroMOL-PER-GM
4629,2253,CH4,0.2000,m2h,MicroMOL-PER-M2-HR
4630,2254,CH4,0.7250,gh,MicroMOL-PER-GM-HR
4631,2254,CH4,5.8000,g,MicroMOL-PER-GM
4632,2254,CH4,0.1450,m2h,MicroMOL-PER-M2-HR
4633,2255,CH4,0.5000,gh,MicroMOL-PER-GM-HR
4634,2255,CH4,4.0000,g,MicroMOL-PER-GM
4635,2255,CH4,0.1000,m2h,MicroMOL-PER-M2-HR
4636,2256,CH4,0.6750,gh,MicroMOL-PER-GM-HR
4637,2256,CH4,5.4000,g,MicroMOL-PER-GM
4638,2256,CH4,0.1350,m2h,MicroMOL-PER-M2-HR
4639,2257,CO,22.5000,gh,MicroMOL-PER-GM-HR
4640,2257,CH4,18.7500,gh,MicroMOL-PER-GM-HR
4641,2257,CO,90.0000,g,MicroMOL-PER-GM
4642,2257,CH4,75.0000,g,MicroMOL-PER-GM
4643,2257,CO,0.5233,m2h,MicroMOL-PER-M2-HR
4644,2257,CH4,0.4360,m2h,MicroMOL-PER-M2-HR
4645,2258,CO,62.5000,gh,MicroMOL-PER-GM-HR
4646,2258,CH4,162.5000,gh,MicroMOL-PER-GM-HR
4647,2258,CO,250.0000,g,MicroMOL-PER-GM
4648,2258,CH4,650.0000,g,MicroMOL-PER-GM
4649,2258,CO,1.0246,m2h,MicroMOL-PER-M2-HR
4650,2258,CH4,2.6639,m2h,MicroMOL-PER-M2-HR
4651,2259,CO,112.5000,gh,MicroMOL-PER-GM-HR
4652,2259,CH4,275.0000,gh,MicroMOL-PER-GM-HR
4653,2259,CO,450.0000,g,MicroMOL-PER-GM
4654,2259,CH4,1100.0000,g,MicroMOL-PER-GM
4655,2259,CO,1.3393,m2h,MicroMOL-PER-M2-HR
4656,2259,CH4,3.2738,m2h,MicroMOL-PER-M2-HR
4657,2260,CO,100.0000,gh,MicroMOL-PER-GM-HR
4658,2260,CH4,262.5000,gh,MicroMOL-PER-GM-HR
4659,2260,CO,400.0000,g,MicroMOL-PER-GM
4660,2260,CH4,1050.0000,g,MicroMOL-PER-GM
4661,2260,CO,1.0204,m2h,MicroMOL-PER-M2-HR
4662,2260,CH4,2.6786,m2h,MicroMOL-PER-M2-HR
4663,2261,CO,75.0000,gh,MicroMOL-PER-GM-HR
4664,2261,CH4,212.5000,gh,MicroMOL-PER-GM-HR
4665,2261,CO,300.0000,g,MicroMOL-PER-GM
4666,2261,CH4,850.0000,g,MicroMOL-PER-GM
4667,2261,CO,0.6098,m2h,MicroMOL-PER-M2-HR
4668,2261,CH4,1.7276,m2h,MicroMOL-PER-M2-HR
4669,2262,CO,5.0000,g,MicroMOL-PER-GM
4670,2262,CH3OH,4.5000,g,MicroMOL-PER-GM
4671,2263,CO,26.0000,g,MicroMOL-PER-GM
4672,2263,CH3OH,7.0000,g,MicroMOL-PER-GM
4673,2264,CO,37.0000,g,MicroMOL-PER-GM
4674,2264,CH3OH,9.5000,g,MicroMOL-PER-GM
4675,2265,CO,44.0000,g,MicroMOL-PER-GM
4676,2265,CH3OH,9.0000,g,MicroMOL-PER-GM
4677,2266,CO,23.0000,g,MicroMOL-PER-GM
4678,2266,CH3OH,5.0000,g,MicroMOL-PER-GM
4679,2267,CO,19.0000,g,MicroMOL-PER-GM
4680,2267,CH3OH,5.0000,g,MicroMOL-PER-GM
4681,2268,H2,8.3572,gh,MicroMOL-PER-GM-HR
4682,2268,CO,12.3670,gh,MicroMOL-PER-GM-HR
4683,2268,CH4,5.0195,gh,MicroMOL-PER-GM-HR
4684,2268,CH3OH,0.0667,gh,MicroMOL-PER-GM-HR
4685,2268,H2,41.7860,g,MicroMOL-PER-GM
4686,2268,CO,61.8350,g,MicroMOL-PER-GM
4687,2268,CH4,25.0975,g,MicroMOL-PER-GM
4688,2268,CH3OH,0.3335,g,MicroMOL-PER-GM
4689,2268,H2,0.0108,m2h,MicroMOL-PER-M2-HR
4690,2268,CO,0.0160,m2h,MicroMOL-PER-M2-HR
4691,2268,CH4,0.0065,m2h,MicroMOL-PER-M2-HR
4692,2268,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4693,2269,CO,0.2500,gh,MicroMOL-PER-GM-HR
4694,2269,CO,5.0000,g,MicroMOL-PER-GM
4695,2269,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4696,2269,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4697,2269,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4698,2269,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4699,2270,CO,0.7000,gh,MicroMOL-PER-GM-HR
4700,2270,CO,14.0000,g,MicroMOL-PER-GM
4701,2270,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4702,2270,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4703,2270,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4704,2270,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4705,2271,CO,0.2750,gh,MicroMOL-PER-GM-HR
4706,2271,CO,5.5000,g,MicroMOL-PER-GM
4707,2271,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4708,2271,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4709,2271,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4710,2271,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4711,2272,CO,0.2000,gh,MicroMOL-PER-GM-HR
4712,2272,CO,4.0000,g,MicroMOL-PER-GM
4713,2272,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4714,2272,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4715,2272,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4716,2272,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4717,2273,CO,0.2500,gh,MicroMOL-PER-GM-HR
4718,2273,CO,5.0000,g,MicroMOL-PER-GM
4719,2273,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4720,2273,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4721,2273,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4722,2273,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4723,2274,H2,3.7000,gh,MicroMOL-PER-GM-HR
4724,2274,CO,16.8000,gh,MicroMOL-PER-GM-HR
4725,2274,H2,11.1000,g,MicroMOL-PER-GM
4726,2274,CO,50.4000,g,MicroMOL-PER-GM
4727,2274,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4728,2274,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4729,2274,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4730,2274,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4731,2275,H2,2.5667,gh,MicroMOL-PER-GM-HR
4732,2275,CO,13.2000,gh,MicroMOL-PER-GM-HR
4733,2275,H2,7.7000,g,MicroMOL-PER-GM
4734,2275,CO,39.6000,g,MicroMOL-PER-GM
4735,2275,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4736,2275,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4737,2275,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4738,2275,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4739,2276,H2,0.6667,gh,MicroMOL-PER-GM-HR
4740,2276,CO,0.3333,gh,MicroMOL-PER-GM-HR
4741,2276,H2,2.0000,g,MicroMOL-PER-GM
4742,2276,CO,1.0000,g,MicroMOL-PER-GM
4743,2276,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4744,2276,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4745,2276,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4746,2276,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4747,2277,H2,0.2000,gh,MicroMOL-PER-GM-HR
4748,2277,CO,0.2000,gh,MicroMOL-PER-GM-HR
4749,2277,H2,0.6000,g,MicroMOL-PER-GM
4750,2277,CO,0.6000,g,MicroMOL-PER-GM
4751,2277,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4752,2277,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4753,2277,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4754,2277,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4755,2278,H2,0.1000,gh,MicroMOL-PER-GM-HR
4756,2278,CO,0.1333,gh,MicroMOL-PER-GM-HR
4757,2278,H2,0.3000,g,MicroMOL-PER-GM
4758,2278,CO,0.4000,g,MicroMOL-PER-GM
4759,2278,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4760,2278,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4761,2278,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4762,2278,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4763,2279,CH3OH,1.1000,g,MicroMOL-PER-GM
4764,2279,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4765,2279,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4766,2279,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4767,2279,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4768,2280,CH3OH,1.5000,g,MicroMOL-PER-GM
4769,2280,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4770,2280,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4771,2280,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4772,2280,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4773,2281,CH3OH,1.5500,g,MicroMOL-PER-GM
4774,2281,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4775,2281,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4776,2281,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4777,2281,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4778,2282,CH4,0.4750,gh,MicroMOL-PER-GM-HR
4779,2282,CH4,3.8000,g,MicroMOL-PER-GM
4780,2282,CH4,0.0733,m2h,MicroMOL-PER-M2-HR
4781,2283,CH4,0.9750,gh,MicroMOL-PER-GM-HR
4782,2283,CH4,7.8000,g,MicroMOL-PER-GM
4783,2283,CH4,0.2586,m2h,MicroMOL-PER-M2-HR
4784,2284,CH4,2.0000,gh,MicroMOL-PER-GM-HR
4785,2284,CH4,16.0000,g,MicroMOL-PER-GM
4786,2284,CH4,0.1491,m2h,MicroMOL-PER-M2-HR
4787,2285,CH4,1.2250,gh,MicroMOL-PER-GM-HR
4788,2285,CH4,9.8000,g,MicroMOL-PER-GM
4789,2285,CH4,0.0287,m2h,MicroMOL-PER-M2-HR
4790,2286,CH3OH,0.9000,g,MicroMOL-PER-GM
4791,2286,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4792,2286,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4793,2286,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4794,2286,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4795,2287,CH3OH,4.1000,g,MicroMOL-PER-GM
4796,2287,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4797,2287,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4798,2287,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
4799,2287,CH2O,0.0001,m2h,MicroMOL-PER-M2-HR
4800,2288,CH3OH,5.0000,g,MicroMOL-PER-GM
4801,2288,CH3OH,0.0001,m2h,MicroMOL-PER-M2-HR
4802,2288,CH3COH,0.0001,m2h,MicroMOL-PER-M2-HR
4803,2288,HCOOH,0.0001,m2h,MicroMOL-PER-M2-HR
