ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
179,46,C2H5OH,23.1500,gh,MicroMOL-PER-GM-HR
180,46,HCOOH,5.9740,gh,MicroMOL-PER-GM-HR
181,46,CH4,18.6700,g,MicroMOL-PER-GM
182,46,C2H5OH,115.7500,g,MicroMOL-PER-GM
183,46,HCOOH,29.8700,g,MicroMOL-PER-GM
184,47,CH4,0.6740,gh,MicroMOL-PER-GM-HR
185,47,HCOOH,2.3040,gh,MicroMOL-PER-GM-HR
186,47,CH4,3.3700,g,MicroMOL-PER-GM
187,47,HCOOH,11.5200,g,MicroMOL-PER-GM
188,48,CH4,0.9860,gh,MicroMOL-PER-GM-HR
189,48,HCOOH,2.6580,gh,MicroMOL-PER-GM-HR
190,48,CH4,4.9300,g,MicroMOL-PER-GM
191,48,HCOOH,13.2900,g,MicroMOL-PER-GM
192,49,CH4,2.2400,gh,MicroMOL-PER-GM-HR
193,49,HCOOH,5.2800,gh,MicroMOL-PER-GM-HR
194,49,CH4,11.2000,g,MicroMOL-PER-GM
195,49,HCOOH,26.4000,g,MicroMOL-PER-GM
196,50,CH4,4.3140,gh,MicroMOL-PER-GM-HR
197,50,C2H5OH,23.8320,gh,MicroMOL-PER-GM-HR
198,50,HCOOH,6.4860,gh,MicroMOL-PER-GM-HR
199,50,CH4,21.5700,g,MicroMOL-PER-GM
200,50,C2H5OH,119.1600,g,MicroMOL-PER-GM
201,50,HCOOH,32.4300,g,MicroMOL-PER-GM
202,51,CH4,2.7000,gh,MicroMOL-PER-GM-HR
203,51,HCOOH,5.9400,gh,MicroMOL-PER-GM-HR
204,51,CH4,13.5000,g,MicroMOL-PER-GM
205,51,HCOOH,29.7000,g,MicroMOL-PER-GM
206,52,CH4,11.7400,gh,MicroMOL-PER-GM-HR
207,52,C2H5OH,29.8720,gh,MicroMOL-PER-GM-HR
208,52,HCOOH,18.6700,gh,MicroMOL-PER-GM-HR
209,52,CH4,58.7000,g,MicroMOL-PER-GM
210,52,C2H5OH,149.3600,g,MicroMOL-PER-GM
211,52,HCOOH,93.3500,g,MicroMOL-PER-GM
212,53,CH4,14.6660,gh,MicroMOL-PER-GM-HR
213,53,C2H5OH,1.0320,gh,MicroMOL-PER-GM-HR
214,53,HCOOH,18.5880,gh,MicroMOL-PER-GM-HR
215,53,CH4,73.3300,g,MicroMOL-PER-GM
216,53,C2H5OH,5.1600,g,MicroMOL-PER-GM
217,53,HCOOH,92.9400,g,MicroMOL-PER-GM
218,56,CH4,0.1250,gh,MicroMOL-PER-GM-HR
219,56,CH3OH,0.0333,gh,MicroMOL-PER-GM-HR
220,56,CH4,3.0000,g,MicroMOL-PER-GM
221,56,CH3OH,0.8000,g,MicroMOL-PER-GM
222,57,H2,3.8333,gh,MicroMOL-PER-GM-HR
223,57,CO,0.0167,gh,MicroMOL-PER-GM-HR
224,57,CH4,0.1875,gh,MicroMOL-PER-GM-HR
225,57,CH3OH,0.1146,gh,MicroMOL-PER-GM-HR
226,57,H2,92.0000,g,MicroMOL-PER-GM
227,57,CO,0.4000,g,MicroMOL-PER-GM
228,57,CH4,4.5000,g,MicroMOL-PER-GM
229,57,CH3OH,2.7500,g,MicroMOL-PER-GM
230,58,CH3OH,4.1200,gh,MicroMOL-PER-GM-HR
231,59,CH3OH,2.2000,gh,MicroMOL-PER-GM-HR
232,60,CH3OH,3.8000,gh,MicroMOL-PER-GM-HR
233,61,CO,255.0000,gh,MicroMOL-PER-GM-HR
234,61,CO,1020.0000,g,MicroMOL-PER-GM
235,62,CH4,0.2000,gh,MicroMOL-PER-GM-HR
236,62,CH4,0.4000,g,MicroMOL-PER-GM
237,62,CH4,11.1111,m2h,MicroMOL-PER-M2-HR
238,63,CH4,0.1333,gh,MicroMOL-PER-GM-HR
239,63,CH3OH,0.0333,gh,MicroMOL-PER-GM-HR
240,63,CH4,3.2000,g,MicroMOL-PER-GM
241,63,CH3OH,0.8000,g,MicroMOL-PER-GM
242,64,CH4,0.0583,gh,MicroMOL-PER-GM-HR
243,64,CH3OH,0.0333,gh,MicroMOL-PER-GM-HR
244,64,CH4,1.4000,g,MicroMOL-PER-GM
245,64,CH3OH,0.8000,g,MicroMOL-PER-GM
246,66,CH4,0.3625,gh,MicroMOL-PER-GM-HR
247,66,CH3OH,0.0754,gh,MicroMOL-PER-GM-HR
248,66,CH4,8.7000,g,MicroMOL-PER-GM
249,66,CH3OH,1.8100,g,MicroMOL-PER-GM
250,67,CH4,0.0583,gh,MicroMOL-PER-GM-HR
251,67,CH3OH,0.0458,gh,MicroMOL-PER-GM-HR
252,67,CH4,1.4000,g,MicroMOL-PER-GM
253,67,CH3OH,1.1000,g,MicroMOL-PER-GM
254,70,HCOOH,22.1000,gh,MicroMOL-PER-GM-HR
255,70,HCOOH,221.0000,g,MicroMOL-PER-GM
256,71,CH3OH,9.3000,gh,MicroMOL-PER-GM-HR
257,71,HCOOH,148.7600,gh,MicroMOL-PER-GM-HR
258,71,CH2O,13.4000,gh,MicroMOL-PER-GM-HR
259,71,CH3OH,93.0000,g,MicroMOL-PER-GM
260,71,HCOOH,1487.6000,g,MicroMOL-PER-GM
261,71,CH2O,134.0000,g,MicroMOL-PER-GM
262,72,CH3OH,1.2100,gh,MicroMOL-PER-GM-HR
263,72,HCOOH,45.0600,gh,MicroMOL-PER-GM-HR
264,72,CH2O,3.8500,gh,MicroMOL-PER-GM-HR
265,72,CH3OH,12.1000,g,MicroMOL-PER-GM
266,72,HCOOH,450.6000,g,MicroMOL-PER-GM
267,72,CH2O,38.5000,g,MicroMOL-PER-GM
268,77,H2,6.0000,gh,MicroMOL-PER-GM-HR
269,77,CO,0.0479,gh,MicroMOL-PER-GM-HR
270,77,CH4,0.3958,gh,MicroMOL-PER-GM-HR
271,77,CH3OH,0.0479,gh,MicroMOL-PER-GM-HR
272,77,H2,144.0000,g,MicroMOL-PER-GM
273,77,CO,1.1500,g,MicroMOL-PER-GM
274,77,CH4,9.5000,g,MicroMOL-PER-GM
275,77,CH3OH,1.1500,g,MicroMOL-PER-GM
276,77,H2,48.9796,m2h,MicroMOL-PER-M2-HR
277,77,CO,0.3912,m2h,MicroMOL-PER-M2-HR
278,77,CH4,3.2313,m2h,MicroMOL-PER-M2-HR
279,77,CH3OH,0.3912,m2h,MicroMOL-PER-M2-HR
