ID,Material_transformation_id,Chemical,Percent,Role,crystal_structure
2131,898,H2O,,Reductant,P25
2132,899,TiO2,,Catalyst,P25
2133,899,Al2O3,5,Co-catalyst,P25
2134,899,H2O,,Reductant,P25
2135,900,TiO2,,Catalyst,P25
2136,900,CuO,1,Co-catalyst,P25
2137,900,H2O,,Reductant,P25
2138,909,TiO2,,Catalyst,Anatase
2139,909,H2O,,Reductant,Anatase
2140,910,TiO2,,Catalyst,Anatase
2141,910,H2O,,Reductant,Anatase
2142,911,TiO2,,Catalyst,Anatase
2143,911,Montmorillonite,10.0,Support,Anatase
2144,911,H2O,,Reductant,Anatase
2145,912,TiO2,,Catalyst,Anatase
2146,912,Montmorillonite,10.0,Support,Anatase
2147,912,H2O,,Reductant,Anatase
2148,1616,TiO2,,Catalyst,Anatase
2149,1616,Au,0.25,Co-catalyst,Anatase
2150,1616,Pt,0.75,Co-catalyst,Anatase
2151,1616,H2O,,Reductant,Anatase
2152,1617,TiO2,,Catalyst,Anatase
2153,1617,H2O,,Reductant,Anatase
2154,1618,TiO2,,Catalyst,Anatase
2155,1618,Au,0,Co-catalyst,Anatase
2156,1618,H2O,,Reductant,Anatase
2157,1619,TiO2,,Catalyst,Anatase
2158,1619,Pt,0,Co-catalyst,Anatase
2159,1619,H2O,,Reductant,Anatase
2160,1620,Bi6Mo2O15,,Catalyst,
2161,1620,na,,Reductant,
2162,1621,TiO2,,Catalyst,Anatase
2163,1621,H2O,,Reductant,Anatase
2164,1622,TiO2,,Catalyst,Anatase
2165,1622,H2O,,Reductant,Anatase
2166,1623,LiNbO3,,Catalyst,
2167,1623,na,,Reductant,
2168,1624,ZnO,,Catalyst,
2169,1624,H2O,,Reductant,
2170,1625,ZnO,,Catalyst,
2171,1625,Graphene,0,Co-catalyst,
2172,1625,H2O,,Reductant,
2173,1626,TiO2,,Catalyst,Anatase
2174,1626,H2O,,Reductant,Anatase
2175,1627,TiO2,,Catalyst,Anatase
2176,1627,na,,Reductant,Anatase
2177,1628,TiO2,,Catalyst,Anatase
2178,1628,Cu,0,Co-catalyst,Anatase
2179,1628,na,,Reductant,Anatase
2180,1629,TiO2,,Catalyst,Anatase
2181,1629,Cu,0,Co-catalyst,Anatase
2182,1629,na,,Reductant,Anatase
2183,1632,TiO2,,Catalyst,Anatase
2184,1632,"NaOH 0,2 M",,Reductant,Anatase
2185,1633,TiO2,,Catalyst,Anatase
2186,1633,ZrO2,50,Co-catalyst,Anatase
2187,1633,"NaOH 0,2 M",,Reductant,Anatase
2188,1634,TiO2,,Catalyst,Anatase
2189,1634,Au,0.4,Co-catalyst,Anatase
2190,1634,"NaOH 0,2 M",,Reductant,Anatase
2191,1635,TiO2,,Catalyst,Anatase
2192,1635,Au,0.4,Co-catalyst,Anatase
2193,1635,"NaOH 0,2 M",,Reductant,Anatase
2194,1636,Bi2S3,,Catalyst,
2195,1636,Methanol,,Reductant,
2196,1637,g-C3N4,,Catalyst,
2197,1637,na,,Reductant,
2198,1638,g-C3N4,,Catalyst,
2199,1638,Ru(bpy),0,Co-catalyst,
2200,1638,na,,Reductant,
2201,1639,Ru(bpy),,Catalyst,
2202,1639,Al2O3,,Support,
2203,1639,Ru(bpy),,Dye,
2204,1639,Acetonitrile/triethanolamine,,Reductant,
2205,1640,TiO2,,Catalyst,
2206,1640,H2O,,Reductant,
2207,1641,ZnO,,Catalyst,
2208,1641,CH4,,Reductant,
2209,1642,Zn2GeO4,,Catalyst,
2210,1642,H2O,,Reductant,
2211,1643,Zn2GeO4,,Catalyst,
2212,1643,ZIF-8,0,Co-catalyst,
2213,1643,H2O,,Reductant,
2214,1644,Zn2GeO4,,Catalyst,
2215,1644,Pt-ZIF-8,0,Co-catalyst,
2216,1644,H2O,,Reductant,
2217,1645,TiO2,,Catalyst,Anatase
2218,1645,Montmorillonite,,Support,Anatase
2219,1645,H2O,,Reductant,Anatase
2220,1646,TiO2,,Catalyst,Anatase
2221,1646,In,,Dopant,Anatase
2222,1646,H2O,,Reductant,Anatase
2223,1647,TiO2,,Catalyst,Anatase
2224,1647,H2O,,Reductant,Anatase
2225,1648,Zr-UiO-66-NH2,,Catalyst,
2226,1648,MeCN TEOA,,Reductant,
2227,1649,TiO2,,Catalyst,Anatase
2228,1649,Ag,0,Co-catalyst,Anatase
2229,1649,H2O,,Reductant,Anatase
2230,1650,TiO2,,Catalyst,Anatase
2231,1650,H2O,,Reductant,Anatase
2232,1651,In(OH)3,,Catalyst,
2233,1651,Pt,0,Co-catalyst,
2234,1651,H2O,,Reductant,
2235,1652,TiO2,,Catalyst,Anatase
2236,1652,Montmorillonite,10.0,Support,Anatase
2237,1652,H2O,,Reductant,Anatase
2238,1653,TiO2,,Catalyst,Anatase
2239,1653,H2O,,Reductant,Anatase
2240,1654,ZnS,,Catalyst,
2241,1654,Methanol,,Reductant,
2242,1655,ZnS,,Catalyst,
2243,1655,Methanol,,Reductant,
2244,1656,ZnS,,Catalyst,
2245,1656,Methanol,,Reductant,
2246,1657,Ti-SBA-15,,Catalyst,
2247,1657,H2O,,Reductant,
2248,1658,Ti-SBA-15,,Catalyst,
2249,1658,Au,0.25,Co-catalyst,
2250,1658,H2O,,Reductant,
2251,1659,WO3,,Catalyst,
2252,1659,H2O,,Reductant,
2253,1660,TiO2,,Catalyst,
2254,1660,H2O,,Reductant,
2255,1661,TiO2,,Catalyst,
2256,1661,H2O,,Reductant,
2257,1662,TiO2,,Catalyst,
2258,1662,H2O,,Reductant,
2259,1663,[Zn2Cr(OH)2]2CO3,,Catalyst,
2260,1663,Pt,0.05,Co-catalyst,
2261,1663,H2O,,Reductant,
2262,1664,[Zn2Cr(OH)2]2CO3,,Catalyst,
2263,1664,Pt,0.1,Co-catalyst,
2264,1664,H2O,,Reductant,
2265,1665,[Zn2Cr(OH)2]2CO3,,Catalyst,
2266,1665,Pt,0.3,Co-catalyst,
2267,1665,H2O,,Reductant,
2268,1666,[Zn2Cr(OH)2]2CO3,,Catalyst,
2269,1666,Pt,0.5,Co-catalyst,
2270,1666,H2O,,Reductant,
2271,1667,[Zn2Cr(OH)2]2CO3,,Catalyst,
2272,1667,Pt,0.7,Co-catalyst,
2273,1667,H2O,,Reductant,
2274,1668,[Zn2Cr(OH)2]2CO3,,Catalyst,
2275,1668,Pt,1,Co-catalyst,
2276,1668,H2O,,Reductant,
2277,1669,[Zn2Cr(OH)2]2CO3,,Catalyst,
2278,1669,Pd,0.05,Co-catalyst,
2279,1669,H2O,,Reductant,
2280,1670,[Zn2Cr(OH)2]2CO3,,Catalyst,
2281,1670,Pd,0.1,Co-catalyst,
2282,1670,H2O,,Reductant,
2283,1671,[Zn2Cr(OH)2]2CO3,,Catalyst,
2284,1671,Pd,0.3,Co-catalyst,
2285,1671,H2O,,Reductant,
2286,1672,[Zn2Cr(OH)2]2CO3,,Catalyst,
2287,1672,Pd,0.5,Co-catalyst,
2288,1672,H2O,,Reductant,
2289,1673,[Zn2Cr1(OH)2]2CO3,,Catalyst,
2290,1673,Pd,0.7,Co-catalyst,
2291,1673,H2O,,Reductant,
2292,1674,[Zn2Cr(OH)2]2CO3,,Catalyst,
2293,1674,Pd,1,Co-catalyst,
2294,1674,H2O,,Reductant,
2295,1675,[Zn2Cr(OH)2]2CO3,,Catalyst,
2296,1675,Au,0.05,Co-catalyst,
2297,1675,H2O,,Reductant,
2298,1676,[Zn2Cr(OH)2]2CO3,,Catalyst,
2299,1676,Au,0.1,Co-catalyst,
2300,1676,H2O,,Reductant,
2301,1677,[Zn2Cr(OH)2]2CO3,,Catalyst,
2302,1677,Au,0.3,Co-catalyst,
2303,1677,H2O,,Reductant,
2304,1678,[Zn2Cr(OH)2]2CO3,,Catalyst,
2305,1678,Au,0.5,Co-catalyst,
2306,1678,H2O,,Reductant,
2307,1679,[Zn2Cr(OH)2]2CO3,,Catalyst,
2308,1679,Au,0.7,Co-catalyst,
2309,1679,H2O,,Reductant,
2310,1680,[Zn2Cr(OH)2]2CO3,,Catalyst,
2311,1680,Au,1,Co-catalyst,
2312,1680,H2O,,Reductant,
2313,1687,TiO2,,Catalyst,Anatase
2314,1687,H2O,,Reductant,Anatase
2315,1688,TiO2,,Catalyst,Anatase
2316,1688,Pt,0.9,Co-catalyst,Anatase
2317,1688,H2O,,Reductant,Anatase
2318,1689,TiO2,,Catalyst,Anatase
2319,1689,Cu,0,Co-catalyst,Anatase
2320,1689,H2O,,Reductant,Anatase
2321,1690,TiO2,,Catalyst,Anatase
2322,1690,Pt,0.9,Co-catalyst,Anatase
2323,1690,Cu,1.6,Co-catalyst,Anatase
2324,1690,H2O,,Reductant,Anatase
2325,1691,TiO2,,Catalyst,Anatase
2326,1691,H2O,,Reductant,Anatase
2327,1692,TiO2,,Catalyst,Anatase
2328,1692,H2O,,Reductant,Anatase
2329,1693,TiO2,,Catalyst,Anatase
2330,1693,H2O,,Reductant,Anatase
2331,1694,TiO2,,Catalyst,Anatase
2332,1694,H2O,,Reductant,Anatase
2333,1695,TiO2,,Catalyst,Anatase
2334,1695,MgO,0,Co-catalyst,Anatase
2335,1695,H2O,,Reductant,Anatase
2336,1696,TiO2,,Catalyst,Anatase
2337,1696,MgO,0,Co-catalyst,Anatase
2338,1696,H2O,,Reductant,Anatase
2339,1697,TiO2,,Catalyst,Anatase
2340,1697,MgO,0,Co-catalyst,Anatase
2341,1697,H2O,,Reductant,Anatase
2342,1698,TiO2,,Catalyst,Anatase
2343,1698,MgO,0,Co-catalyst,Anatase
2344,1698,H2O,,Reductant,Anatase
2345,1699,TiO2,,Catalyst,Anatase
2346,1699,MgO,0,Co-catalyst,Anatase
2347,1699,H2O,,Reductant,Anatase
2348,1700,TiO2,,Catalyst,Anatase
2349,1700,Cu,1,Co-catalyst,Anatase
2350,1700,H2O,,Reductant,Anatase
2351,1701,TiO2,,Catalyst,Anatase
2352,1701,Cu,1,Co-catalyst,Anatase
2353,1701,H2O,,Reductant,Anatase
2354,1702,TiO2,,Catalyst,Anatase
2355,1702,Cu,1,Co-catalyst,Anatase
2356,1702,H2O,,Reductant,Anatase
2357,1703,g-C3N4,,Catalyst,
2358,1703,NaOH 1 M,,Reductant,
2359,1704,g-C3N4,,Catalyst,
2360,1704,NaOH 1 M,,Reductant,
2361,1705,TiO2,,Catalyst,Anatase
2362,1705,Ni,10,Co-catalyst,Anatase
2363,1705,H2O,,Reductant,Anatase
2364,1706,TiO2,,Catalyst,Anatase
2365,1706,Ni,10,Co-catalyst,Anatase
2366,1706,H2O,,Reductant,Anatase
2367,1707,TiO2,,Catalyst,Anatase
2368,1707,H2O,,Reductant,Anatase
2369,1712,TiO2,,Catalyst,Anatase
2370,1712,Pt,0.5,Co-catalyst,Anatase
2371,1712,H2O,,Reductant,Anatase
2372,1713,TiO2,,Catalyst,Anatase
2373,1713,Pt,0.5,Co-catalyst,Anatase
2374,1713,MgO,0.25,Co-catalyst,Anatase
2375,1713,H2O,,Reductant,Anatase
2376,1714,TiO2,,Catalyst,Anatase
2377,1714,Pt,0.5,Co-catalyst,Anatase
2378,1714,MgO,0.5,Co-catalyst,Anatase
2379,1714,H2O,,Reductant,Anatase
2380,1715,TiO2,,Catalyst,Anatase
2381,1715,Pt,0.5,Co-catalyst,Anatase
2382,1715,MgO,1.0,Co-catalyst,Anatase
2383,1715,H2O,,Reductant,Anatase
2384,1716,TiO2,,Catalyst,Anatase
2385,1716,Pt,0.5,Co-catalyst,Anatase
2386,1716,MgO,2.0,Co-catalyst,Anatase
2387,1716,H2O,,Reductant,Anatase
2388,1717,TiO2,,Catalyst,Anatase
2389,1717,Pt,0.5,Co-catalyst,Anatase
2390,1717,MgO,3.0,Co-catalyst,Anatase
2391,1717,H2O,,Reductant,Anatase
2392,1718,TiO2,,Catalyst,Anatase
2393,1718,H2O,,Reductant,Anatase
2394,1719,TiO2,,Catalyst,Anatase
2395,1719,H2O,,Reductant,Anatase
2396,1724,Ta2O5,,Catalyst,
2397,1724,H2O,,Reductant,
2398,1725,Ta2O5,,Catalyst,
2399,1725,H2O,,Reductant,
2400,1726,Ta2O5,,Catalyst,
2401,1726,H2O,,Reductant,
2402,1727,Ta2O5,,Catalyst,
2403,1727,H2O,,Reductant,
2404,1728,Ta2O5,,Catalyst,
2405,1728,H2O,,Reductant,
2406,1729,Ta2O5,,Catalyst,
2407,1729,H2O,,Reductant,
2408,1730,Ta2O5,,Catalyst,
2409,1730,H2O,,Reductant,
2410,1731,ZnGa2O4,,Catalyst,Nanocubes
2411,1731,H2O,,Reductant,Nanocubes
2412,1732,ZnGa2O4,,Catalyst,Mesoporous
2413,1732,H2O,,Reductant,Mesoporous
2414,1737,TiO2,,Catalyst,Anatase
2415,1737,CeO2,0,Co-catalyst,Anatase
2416,1737,H2O,,Reductant,Anatase
2417,1738,Graphene Oxide,,Catalyst,
2418,1738,H2O,,Reductant,
2419,1739,Graphene Oxide,,Catalyst,
2420,1739,H2O,,Reductant,
2421,1740,Graphene Oxide,,Catalyst,
2422,1740,H2O,,Reductant,
2423,1741,Graphene Oxide,,Catalyst,
2424,1741,H2O,,Reductant,
2425,1742,TiO2,,Catalyst,Anatase
2426,1742,H2O,,Reductant,Anatase
2427,1743,TiO2,,Catalyst,Anatase
2428,1743,Cu,0.33,Co-catalyst,Anatase
2429,1743,H2O,,Reductant,Anatase
2430,1744,TiO2,,Catalyst,Anatase
2431,1744,Cu,0.5,Co-catalyst,Anatase
2432,1744,H2O,,Reductant,Anatase
2433,1745,TiO2,,Catalyst,Anatase
2434,1745,Cu,1,Co-catalyst,Anatase
2435,1745,H2O,,Reductant,Anatase
2436,1746,TiO2,,Catalyst,Anatase
2437,1746,Cu,2,Co-catalyst,Anatase
2438,1746,H2O,,Reductant,Anatase
2439,1747,TiO2,,Catalyst,Anatase
2440,1747,Au,0.5,Co-catalyst,Anatase
2441,1747,H2O,,Reductant,Anatase
2442,1748,TiO2,,Catalyst,Anatase
2443,1748,Au,1,Co-catalyst,Anatase
2444,1748,H2O,,Reductant,Anatase
2445,1749,TiO2,,Catalyst,Anatase
2446,1749,Au,2,Co-catalyst,Anatase
2447,1749,H2O,,Reductant,Anatase
2448,1750,g-C3N4,,Catalyst,
2449,1750,H2O,,Reductant,
2450,1751,g-C3N4,,Catalyst,
2451,1751,H2O,,Reductant,
2452,1752,g-C3N4,,Catalyst,
2453,1752,Pt,0.5,Co-catalyst,
2454,1752,H2O,,Reductant,
2455,1753,g-C3N4,,Catalyst,
2456,1753,Pt,1,Co-catalyst,
2457,1753,H2O,,Reductant,
2458,1754,g-C3N4,,Catalyst,
2459,1754,Pt,2,Co-catalyst,
2460,1754,H2O,,Reductant,
2461,1755,g-C3N4,,Catalyst,
2462,1755,Pt,5,Co-catalyst,
2463,1755,H2O,,Reductant,
2464,1756,g-C3N4,,Catalyst,
2465,1756,Pt,10,Co-catalyst,
2466,1756,H2O,,Reductant,
2467,1757,TiO2,,Catalyst,Anatase
2468,1757,H2O,,Reductant,Anatase
2469,1758,TiO2,,Catalyst,Anatase
2470,1758,Au,0,Co-catalyst,Anatase
2471,1758,H2O,,Reductant,Anatase
2472,1759,TiO2,,Catalyst,Anatase
2473,1759,AuCu,0,Co-catalyst,Anatase
2474,1759,H2O,,Reductant,Anatase
2475,1760,TiO2,,Catalyst,Anatase
2476,1760,AuCu,0,Co-catalyst,Anatase
2477,1760,H2O,,Reductant,Anatase
2478,1761,TiO2,,Catalyst,Anatase
2479,1761,AuCu,0,Co-catalyst,Anatase
2480,1761,H2O,,Reductant,Anatase
2481,1762,TiO2,,Catalyst,Anatase
2482,1762,Cu,0,Co-catalyst,Anatase
2483,1762,H2O,,Reductant,Anatase
2484,1763,TiO2,,Catalyst,Anatase
2485,1763,H2O,,Reductant,Anatase
2486,1764,TiO2,,Catalyst,Anatase
2487,1764,Au,0.5,Co-catalyst,Anatase
2488,1764,H2O,,Reductant,Anatase
2489,1765,TiO2,,Catalyst,Anatase
2490,1765,Au,1,Co-catalyst,Anatase
2491,1765,H2O,,Reductant,Anatase
2492,1766,TiO2,,Catalyst,Anatase
2493,1766,Au,2,Co-catalyst,Anatase
2494,1766,H2O,,Reductant,Anatase
2495,1767,TiO2,,Catalyst,Anatase
2496,1767,Au,4,Co-catalyst,Anatase
2497,1767,H2O,,Reductant,Anatase
2498,1768,TiO2,,Catalyst,Anatase
2499,1768,Au,8,Co-catalyst,Anatase
2500,1768,H2O,,Reductant,Anatase
2501,1769,g-C3N4,,Catalyst,
2502,1769,H2O,,Reductant,
2503,1770,g-C3N4,,Catalyst,
2504,1770,H2O,,Reductant,
2505,1771,TiO2,,Catalyst,Anatase
2506,1771,H2O,,Reductant,Anatase
2507,1772,TiO2,,Catalyst,Anatase
2508,1772,NaOH,2,Co-catalyst,Anatase
2509,1772,H2O,,Reductant,Anatase
2510,1773,TiO2,,Catalyst,Anatase
2511,1773,NaOH,3,Co-catalyst,Anatase
2512,1773,H2O,,Reductant,Anatase
2513,1774,TiO2,,Catalyst,Anatase
2514,1774,NaOH,5,Co-catalyst,Anatase
2515,1774,H2O,,Reductant,Anatase
2516,1775,TiO2,,Catalyst,Anatase
2517,1775,NaOH,7,Co-catalyst,Anatase
2518,1775,H2O,,Reductant,Anatase
2519,1776,TiO2,,Catalyst,Anatase
2520,1776,H2O,,Reductant,Anatase
2521,1777,TiO2,,Catalyst,Anatase
2522,1777,H2O,,Reductant,Anatase
2523,1778,TiO2,,Catalyst,Anatase
2524,1778,Pt,0.5,Co-catalyst,Anatase
2525,1778,H2O,,Reductant,Anatase
2526,1779,TiO2,,Catalyst,Anatase
2527,1779,Pt,0.5,Co-catalyst,Anatase
2528,1779,H2O,,Reductant,Anatase
2529,1780,TiO2,,Catalyst,Anatase
2530,1780,Pd,0.5,Co-catalyst,Anatase
2531,1780,H2O,,Reductant,Anatase
2532,1781,TiO2,,Catalyst,Anatase
2533,1781,Rh,0.5,Co-catalyst,Anatase
2534,1781,H2O,,Reductant,Anatase
2535,1782,TiO2,,Catalyst,Anatase
2536,1782,Au,0.5,Co-catalyst,Anatase
2537,1782,H2O,,Reductant,Anatase
2538,1783,TiO2,,Catalyst,Anatase
2539,1783,Ag,0.5,Co-catalyst,Anatase
2540,1783,H2O,,Reductant,Anatase
2541,1784,NaNbO3,,Catalyst,
2542,1784,H2O,,Reductant,
2543,1785,NaNbO3,,Catalyst,
2544,1785,g-C3N4,0,Co-catalyst,
2545,1785,H2O,,Reductant,
2546,1786,NaNbO3,,Catalyst,
2547,1786,H2O,,Reductant,
2548,1787,TiO2,,Catalyst,Anatase
2549,1787,MgO,0,Co-catalyst,Anatase
2550,1787,"KHCO3 0,1 M",,Reductant,Anatase
2551,1788,g-C3N4,,Catalyst,
2552,1788,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2553,1789,g-C3N4,,Catalyst,
2554,1789,Ru(bpy),,Dye,
2555,1789,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2556,1790,g-C3N4,,Catalyst,
2557,1790,Ru(bpy),,Dye,
2558,1790,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2559,1791,g-C3N4,,Catalyst,
2560,1791,Ru(bpy),,Dye,
2561,1791,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2562,1792,g-C3N4,,Catalyst,
2563,1792,Ru(bpy),,Dye,
2564,1792,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2565,1793,g-C3N4,,Catalyst,
2566,1793,Ru(bpy),,Dye,
2567,1793,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2568,1794,g-C3N4,,Catalyst,
2569,1794,Ru(bpy),,Dye,
2570,1794,Acetonitrile and triethanolamine (4:1 vv),,Reductant,
2571,1795,g-C3N4,,Catalyst,Bulk
2572,1795,H2O,,Reductant,Bulk
2573,1796,g-C3N4,,Catalyst,Bulk
2574,1796,H2O,,Reductant,Bulk
2575,1797,g-C3N4,,Catalyst,Nanosheets
2576,1797,H2O,,Reductant,Nanosheets
2577,1798,g-C3N4,,Catalyst,Nanosheets
2578,1798,H2O,,Reductant,Nanosheets
2579,1799,AgIO3,,Catalyst,
2580,1799,Ag,0,Co-catalyst,
2581,1799,H2O,,Reductant,
2582,1800,TiO2,,Catalyst,P25
2583,1800,H2O,,Reductant,P25
2584,1801,TiO2,,Catalyst,Faceted
2585,1801,Methanol,,Reductant,Faceted
2586,1802,TiO2,,Catalyst,Faceted
2587,1802,N,,Dopant,Faceted
2588,1802,Methanol,,Reductant,Faceted
2589,1803,TiO2,,Catalyst,Faceted
2590,1803,Graphene,0.0,Support,Faceted
2591,1803,Methanol,,Reductant,Faceted
2592,1804,TiO2,,Catalyst,Anatase
2593,1804,Graphene,0.0,Support,Anatase
2594,1804,N,,Dopant,Anatase
2595,1804,Methanol,,Reductant,Anatase
2596,1805,TiO2,,Catalyst,Faceted
2597,1805,Graphene,0.0,Support,Faceted
2598,1805,Methanol,,Reductant,Faceted
2599,1806,TiO2,,Catalyst,Faceted
2600,1806,Graphene,0.0,Support,Faceted
2601,1806,N,,Dopant,Faceted
2602,1806,Methanol,,Reductant,Faceted
2603,1807,KTaO3,,Catalyst,
2604,1807,H2O,,Reductant,
2605,1808,KTaO3,,Catalyst,
2606,1808,H2O,,Reductant,
2607,1809,KTaO3,,Catalyst,
2608,1809,H2O,,Reductant,
2609,1810,KTaO3,,Catalyst,
2610,1810,Pt,0.5,Co-catalyst,
2611,1810,H2O,,Reductant,
2612,1811,KTaO3,,Catalyst,
2613,1811,Pt,0.01,Co-catalyst,
2614,1811,H2O,,Reductant,
2615,1812,Graphene,,Catalyst,
2616,1812,H2ODMF,,Reductant,
2617,1813,Graphene,,Catalyst,
2618,1813,Ru(bpy),,Dye,
2619,1813,H2ODMF,,Reductant,
2620,1823,Ga2O3,,Catalyst,
2621,1823,Aqueous solution of AgNO3,,Reductant,
2622,1824,Ga2O3,,Catalyst,
2623,1824,Zn,,Dopant,
2624,1824,Aqueous solution of AgNO3,,Reductant,
2625,1825,LDH,,Catalyst,
2626,1825,Mg-Al,0,Co-catalyst,
2627,1825,H2O,,Reductant,
2628,1826,LDH,,Catalyst,
2629,1826,Ni-Al,0,Co-catalyst,
2630,1826,H2O,,Reductant,
2631,1827,LDH,,Catalyst,
2632,1827,Zn-Al,0,Co-catalyst,
2633,1827,H2O,,Reductant,
2634,1828,LDH,,Catalyst,
2635,1828,Mg-In,0,Co-catalyst,
2636,1828,H2O,,Reductant,
2637,1829,LDH,,Catalyst,
2638,1829,Ni-In,0,Co-catalyst,
2639,1829,H2O,,Reductant,
2640,1830,Ti-MCM-41,,Catalyst,
2641,1830,H2O,,Reductant,
2642,1831,Ti-MCM-41 ,,Catalyst,
2643,1831,NaOH,,Reductant,
2644,1832,TiO2,,Catalyst,P25
2645,1832,MEA,,Reductant,P25
2646,1833,Ti-MCM-41,,Catalyst,
2647,1833,MEA,,Reductant,
2648,1834,Ti-MCM-41,,Catalyst,
2649,1834,MEA,,Reductant,
2650,1835,Ti-MCM-41,,Catalyst,
2651,1835,MEA,,Reductant,
2652,1836,TiO2,,Catalyst,Anatase
2653,1836,H2O,,Reductant,Anatase
2654,1837,TiO2,,Catalyst,Anatase
2655,1837,Au,0.5,Co-catalyst,Anatase
2656,1837,H2O,,Reductant,Anatase
2657,1838,TiO2,,Catalyst,Anatase
2658,1838,Au,1,Co-catalyst,Anatase
2659,1838,H2O,,Reductant,Anatase
2660,1839,TiO2,,Catalyst,Anatase
2661,1839,Au,1.5,Co-catalyst,Anatase
2662,1839,H2O,,Reductant,Anatase
2663,1840,TiO2,,Catalyst,Anatase
2664,1840,Au,3,Co-catalyst,Anatase
2665,1840,H2O,,Reductant,Anatase
2666,1841,ZnS,,Catalyst,
2667,1841,Isopropanol,,Reductant,
2668,1842,ZnS,,Catalyst,
2669,1842,Ru,0.5,Co-catalyst,
2670,1842,Isopropanol,,Reductant,
2671,1843,ZnS,,Catalyst,
2672,1843,Isopropanol,,Reductant,
2673,1844,ZnS,,Catalyst,
2674,1844,Ru,0.5,Co-catalyst,
2675,1844,Isopropanol,,Reductant,
2676,1845,TiO2,,Catalyst,Anatase
2677,1845,H2O,,Reductant,Anatase
2678,1846,TiO2,,Catalyst,Anatase
2679,1846,H2Pc,0,Co-catalyst,Anatase
2680,1846,H2O,,Reductant,Anatase
2681,1847,TiO2,,Catalyst,Anatase
2682,1847,CuPc,0.0,Dye,Anatase
2683,1847,H2O,,Reductant,Anatase
2684,1848,TiO2,,Catalyst,Anatase
2685,1848,ZnPc,0.0,Dopant,Anatase
2686,1848,H2O,,Reductant,Anatase
2687,1849,TiO2,,Catalyst,Anatase
2688,1849,O,,Dopant,Anatase
2689,1849,H2O,,Reductant,Anatase
2690,1850,TiO2,,Catalyst,Anatase
2691,1850,"NaOH 0,2 M",,Reductant,Anatase
2692,1851,TiO2,,Catalyst,Anatase
2693,1851,Ce,0.5,Dopant,Anatase
2694,1851,"NaOH 0,2 M",,Reductant,Anatase
2695,1852,TiO2,,Catalyst,Anatase
2696,1852,Ce,1.0,Dopant,Anatase
2697,1852,"NaOH 0,2 M",,Reductant,Anatase
2698,1853,TiO2,,Catalyst,Anatase
2699,1853,Ce,2.0,Dopant,Anatase
2700,1853,"NaOH 0,2 M",,Reductant,Anatase
2701,1854,TiO2,,Catalyst,Anatase
2702,1854,Ce,3.0,Dopant,Anatase
2703,1854,"NaOH 0,2 M",,Reductant,Anatase
2704,1855,TiO2,,Catalyst,Anatase
2705,1855,H2O,,Reductant,Anatase
2706,1856,TiO2,,Catalyst,Anatase
2707,1856,"NaOH 0,2 M",,Reductant,Anatase
2708,1857,TiO2,,Catalyst,Anatase
2709,1857,Ce,0.28,Dopant,Anatase
2710,1857,"NaOH 0,2 M",,Reductant,Anatase
2711,1858,TiO2,,Catalyst,Anatase
2712,1858,Ce,3.0,Dopant,Anatase
2713,1858,"NaOH 0,2 M",,Reductant,Anatase
2714,1859,TiO2,,Catalyst,Anatase
2715,1859,Ce,5.0,Dopant,Anatase
2716,1859,"NaOH 0,2 M",,Reductant,Anatase
2717,1860,TiO2,,Catalyst,Anatase
2718,1860,Ce,10.0,Dopant,Anatase
2719,1860,"NaOH 0,2 M",,Reductant,Anatase
2720,1861,TiO2,,Catalyst,Anatase
2721,1861,"KHCO3 0,2 M",,Reductant,Anatase
2722,1862,TiO2,,Catalyst,Anatase
2723,1862,Au,0.01,Co-catalyst,Anatase
2724,1862,"KHCO3 0,2 M",,Reductant,Anatase
2725,1863,TiO2,,Catalyst,Anatase
2726,1863,Au,0.05,Co-catalyst,Anatase
2727,1863,"KHCO3 0,2 M",,Reductant,Anatase
2728,1864,TiO2,,Catalyst,Anatase
2729,1864,Au,0.1,Co-catalyst,Anatase
2730,1864,"KHCO3 0,2 M",,Reductant,Anatase
2731,1865,TiO2,,Catalyst,Anatase
2732,1865,Au,0.5,Co-catalyst,Anatase
2733,1865,"KHCO3 0,2 M",,Reductant,Anatase
2734,1866,TiO2,,Catalyst,Anatase
2735,1866,Ag,0.3,Co-catalyst,Anatase
2736,1866,"KHCO3 0,2 M",,Reductant,Anatase
2737,1867,TiO2,,Catalyst,Anatase
2738,1867,Ag,0.4,Co-catalyst,Anatase
2739,1867,"KHCO3 0,2 M",,Reductant,Anatase
2740,1868,TiO2,,Catalyst,Anatase
2741,1868,Ag,0.5,Co-catalyst,Anatase
2742,1868,"KHCO3 0,2 M",,Reductant,Anatase
2743,1869,g-C3N4,,Catalyst,
2744,1869,NaHCO3 + HCl 4 M,,Reductant,
2745,1870,g-C3N4,,Catalyst,
2746,1870,Pt,0.25,Co-catalyst,
2747,1870,NaHCO3 + HCl 4 M,,Reductant,
2748,1871,g-C3N4,,Catalyst,
2749,1871,Pt,0.5,Co-catalyst,
