ID,Chemical
290,Co-ZIF-9
291,Acetonitrile + TEOA
292,Co-MOF-74
293,Mn-MOF-74
294,Zn-ZIF-8
295,Zr-UIO-66-NH2
296,InVO4
297,Ca1.5Ti0.75O3
298,Ca1.28Ti0.85O3
299,Ca0.75Ti1.12O3
300,BiOCl
301,CaFe2O4
302,NaOH 0.1 M
303,BaCO3
304,GaP
305,KHCO3 0.01 M
306,Oligo (p-diphenylene) 
307,TEA
308,Oligo (p-triphenylene)
309,Oligo (p-tetraphenylene)
310,Oligo (p-pentaphenylene)
311,Oligo (p-hexaphenylene)
312,Li2CO3 0.1 M
313,Nb2O5
314,V2O5
315,Anhydrous acetonitrile and aromatic alcohol
316,H2O + NaHCO3 + Na2SO3
317,Ca
318,Mg-CPO-27
319,Zr-PCN-222
320,P
321,Re-diimine-tricarbonyl
322,DMF and TEOA
323,KNbO3
324,H2O+Na2S
325,B4C
326,CuFe2O4
327,Na2S
328,Polypyrrole
329,Polyaniline
330,Polythiophene
331,(BiO)2CO3
332,Na2S 0.35 M+K2SO3 0.25 M
333,Ru-Ru(bypy)
334,Ru(bypy)
335,CoCl2
336,CoCl3
337,Co(NO3)2
338,CoSO4
339,NaCl
340,Au 
341,ZIF-9 
342,ZIF-9
343,SnS2
344,ITO
345,SnNb2O6 
346,Zr-NNU-28
347,Cu0.33Zn0.33Al0.34(OH)2](CO3)0.17 
348,ZnO 
349,SAPO-5
350,Bi2MoO6
351,BiOBr
352,Bi4O5Br2
353,Sr10V6O25
354,Ni3V2O8
355,Zn2V2O7
356,Co(OH)2
357,[Ru(bpy)3]Cl2
358, BiOBr
359,BiVO4/CuGaS2
360,SiO2-Al2O3
361,La
362,Bi
363,Cd0.75Al0.25(OH)2(Cl)0.19(CO)0.03 0.4H2O
364,BiFeO3
365,Ba
366,Sr2KTa5O15
367,Ag2SO3
368,CdV2O6
369,GeZnS
370,CO2+H2O
371,H2O+CO2
372,H2O/NaHCO3
373,deionized water
374,Fe-HZSM-5
375,Fe-MCM-41
376,Fe-HY
377,water
378,carbon
379,TiO2 
380,Au-BiOBr
381,Polyurethane
382,CuO/V2O5
383,CO2
384,CO2 
385,AuPd3
386,Au2Pd2
387,Au3Pd
388,0.00
389,[Zn3Al(OH)8]2(CO3)2- mH2O
390,[Zn1.5Cu1.5Ga(OH)8]2(CO3)2- mH2O
391,H2+CO2
392,[Zn1.5Cu1.5Al(OH)8]2(CO3)2- mH2O
393,[Zn3Ga(OH)8]2(CO3)2- mH2O
394,Acetonitrile
395,Mg
396,Al
397,H2O-NaCl
398,H2O-KCl
399,H2O-NaHCO3
400,H2O-Na2CO3
401,H2O/MeCN
402,H2O/DMF
403,H2O/THF
404,H2O/DCM
405,H2O/BTF
406,[Zn3Ga(OH)8]2CO3
407,[Zn3Cu3Ga(OH)8]2CO3
408,[Zn3Ga(OH)8]2[Cu(OH)4]
409,[Zn3Cu3Ga(OH)8]2[Cu(OH)4]
410,Zn(OH)2
411,Cu(OH)2
412,Ag[Zn3Ga(OH)8]2CO3
413,[Zn1.5Cu1.5Ga(OH)8]2CO3
414,cyclohexanol
415,ZnFe2O5
416,ZnFe2O6
417,ZnFe2O7
418,ZnFe2O8
419,Silica Wool
420,H3
421,H4
422,Zn0.5Mg0.5O
423,Basalt
424,Zn0.67Mg0.33O
425,Zn0.75Mg0.25O
426,Zn0.8Mg0.2O
427,BF
428,La2Sn2O7
429,CoAl
430,CdSO4
431,Al2(SO4)3
432,Ga2(SO4)3
433,In2(SO4)3
434,SnSO4
435,H2O+0.02M K2SO3
436,H2O+0.1M K2SO3
437,H2O+0.1M K2SO4
438,H2O+0.1M K2SO5
439,H2O+0.1M K2SO6
440,H2O+0.1M K2SO7
441,H2O+0.1M K2SO8
442,H2O+0.1M K2SO9
443,H2O+0.1M K2SO10
444,H2O+0.5M K2SO3
445,H2O+0.5M K2SO4
446,H2O+0.5M K2SO5
447,H2O+0.5M K2SO6
448,H2O+0.5M K2SO7
449,H2O+0.5M K2SO8
450,H2O+0.5M K2SO9
451,H2O+0.5M K2SO10
452,H2O+0.1M K2SO3+0.1M KHCO3
453,H2O+0.1M K2SO3+0.1M KHCO4
454,H2O+0.1M K2SO3+0.1M KHCO5
455,H2O+0.1M K2SO3+0.1M KHCO6
456,H2O+0.1M K2SO3+0.1M KHCO7
457,H2O+0.1M K2SO3+0.1M KHCO8
458,H2O+0.1M K2SO3+0.1M KHCO9
459,H2O+0.1M K2SO3+0.1M KHCO10
460,H2O+0.1M K2SO3+0.5M KHCO3
461,H2O+0.1M K2SO3+0.5M KHCO4
462,H2O+0.1M K2SO3+0.5M KHCO5
463,H2O+0.1M K2SO3+0.5M KHCO6
464,H2O+0.1M K2SO3+0.5M KHCO7
465,H2O+0.1M K2SO3+0.5M KHCO8
466,H2O+0.1M K2SO3+0.5M KHCO9
467,H2O+0.1M K2SO3+0.5M KHCO10
468,H2O+0.1M K2SO3+1M KHCO3
469,H2O+0.1M K2SO3+1M KHCO4
470,H2O+0.1M K2SO3+1M KHCO5
471,H2O+0.1M K2SO3+1M KHCO6
472,H2O+0.1M K2SO3+1M KHCO7
473,H2O+0.1M K2SO3+1M KHCO8
474,H2O+0.1M K2SO3+1M KHCO9
475,H2O+0.1M K2SO3+1M KHCO10
476,H2O+0.1M K2SO3+2M KHCO3
477,H2O+0.1M K2SO3+2M KHCO4
478,H2O+0.1M K2SO3+2M KHCO5
